method,predicted_high_minus_low_secondary_fraction,observed_high_minus_low_secondary_fraction,delta_error,ci_low,ci_high,n_high_runs,n_low_runs
cnn_tail_knockout_no_tail_phase_model,-0.008943882015605864,-0.03181045760536201,0.022866575589756147,-0.026391690465868915,0.008569290643583048,12,2
gradient_boosted_trees_no_tail_phase_model,-0.007595571435578902,-0.03181045760536201,0.02421488616978311,-0.011360346797041272,-0.0038769906196842664,12,2
mlp_no_tail_phase_model,0.011563202558435126,-0.03181045760536201,0.04337366016379714,-0.00928840064690282,0.03276138109827127,12,2
phase_stability_gated_cnn_gbt_ensemble,-0.011946005430681639,-0.03181045760536201,0.019864452174680372,-0.018530217722868992,-0.005451594188995953,12,2
ridge_no_tail_phase_model,-0.016572038467852074,-0.03181045760536201,0.015238419137509937,-0.02374182145186092,-0.009113304099786574,12,2
sentinel_amplitude_only_ridge,-0.00810301675191924,-0.03181045760536201,0.02370744085344277,-0.011169221156074447,-0.004967301916545064,12,2
sentinel_gbt_peak_phase_swapped,-0.009184125286881173,-0.03181045760536201,0.022626332318480838,-0.011351271248670759,-0.0069694630855820314,12,2
sentinel_gbt_rising_edge_ablation,-0.008235411183935143,-0.03181045760536201,0.023575046421426868,-0.013434507981085137,-0.003215497204335123,12,2
sentinel_mlp_peak_phase_swapped,0.017792413723037775,-0.03181045760536201,0.049602871328399786,-0.0046148356809486545,0.04082969373291691,12,2
sentinel_mlp_rising_edge_ablation,-0.012243693924194415,-0.03181045760536201,0.019566763681167595,-0.01911054324948773,-0.004987187824678966,12,2
sentinel_ridge_peak_phase_swapped,-0.02026059743334202,-0.03181045760536201,0.01154986017201999,-0.02867594435380811,-0.012210527773591289,12,2
sentinel_ridge_rising_edge_ablation,-0.021936589114441518,-0.03181045760536201,0.009873868490920493,-0.023802296947500422,-0.019848815930922203,12,2
sentinel_run_only_ridge,-3.6466992746703175e-05,-0.03181045760536201,0.03177399061261531,-0.0007285539504848358,0.0006071245356594975,12,2
sentinel_shuffled_current_ridge,-0.00025579955847124247,-0.03181045760536201,0.03155465804689077,-0.011445446671471128,0.010859518439073658,12,2
sentinel_shuffled_live10_ridge,-0.01636619227095079,-0.03181045760536201,0.01544426533441122,-0.018413186978384385,-0.013732274169834108,12,2
traditional_empirical_template,-0.01636619233666803,-0.03181045760536201,0.015444265268693982,-0.018476010114624696,-0.013759019635228024,12,2
