ml_method,traditional_method,metric,delta_ml_minus_traditional,ci_low,ci_high,bootstrap_unit
hgb_full_unconstrained,monotone_residual_table,sigma68_ns,-0.18826217452791016,-0.3221044561898067,-0.06918251191594021,heldout_run
hgb_full_unconstrained,monotone_residual_table,full_rms_ns,-0.3351670501553603,-0.39956105551043464,-0.25108168321921787,heldout_run
hgb_full_unconstrained,monotone_residual_table,tail_frac_abs_gt5ns,-0.0045765981250128806,-0.011209259214974593,-0.0012385454418994053,heldout_run
hgb_full_unconstrained,monotone_residual_table,bias_vs_log_amp_slope_ns,-0.26204926417896496,-0.4793407759985943,-0.04395503245030486,heldout_run
full_monotone_log_amp,monotone_residual_table,sigma68_ns,-0.21386960664667243,-0.36718680984201413,-0.10345410446387404,heldout_run
full_monotone_log_amp,monotone_residual_table,full_rms_ns,-0.2892764689962608,-0.3697377535620542,-0.20340530513534627,heldout_run
full_monotone_log_amp,monotone_residual_table,tail_frac_abs_gt5ns,-0.004422734807597903,-0.011121346545300918,-0.0029326585874114414,heldout_run
full_monotone_log_amp,monotone_residual_table,bias_vs_log_amp_slope_ns,-0.0991922694257717,-0.29694779728438736,0.12727941916170382,heldout_run
amplitude_only,monotone_residual_table,sigma68_ns,-0.13166310002534787,-0.2679447131461223,-0.011703632191901372,heldout_run
amplitude_only,monotone_residual_table,full_rms_ns,-0.17065324383360125,-0.21380048110660393,-0.13592928183002506,heldout_run
amplitude_only,monotone_residual_table,tail_frac_abs_gt5ns,-0.003135261079587763,-0.008141707085785571,-0.0013475419566130052,heldout_run
amplitude_only,monotone_residual_table,bias_vs_log_amp_slope_ns,-0.34418798277680235,-0.6180550647395384,-0.12318080020770956,heldout_run
hgb_full_unconstrained,signed_shared_shrinkage,sigma68_ns,-0.12454668355904386,-0.2630843991139876,-0.014300567387852228,heldout_run
hgb_full_unconstrained,signed_shared_shrinkage,full_rms_ns,-0.32036274688892097,-0.3779633243793156,-0.23787637673821105,heldout_run
hgb_full_unconstrained,signed_shared_shrinkage,tail_frac_abs_gt5ns,-0.006230166489217272,-0.01339630068364798,-0.0027205717806020042,heldout_run
hgb_full_unconstrained,signed_shared_shrinkage,bias_vs_log_amp_slope_ns,-1.1206620338288804,-1.429831257071896,-0.8554281736583527,heldout_run
hgb_full_unconstrained,s03a_amp_only,sigma68_ns,-0.16250838910197607,-0.25282905235131153,-0.12569741496317405,heldout_run
hgb_full_unconstrained,s03a_amp_only,full_rms_ns,-0.2885220123845964,-0.3472297349276042,-0.21014569257780735,heldout_run
hgb_full_unconstrained,s03a_amp_only,tail_frac_abs_gt5ns,-0.003439383454288434,-0.007087425041328532,-0.0004228013719598767,heldout_run
hgb_full_unconstrained,s03a_amp_only,bias_vs_log_amp_slope_ns,-0.5957049812188668,-0.8558946941590322,-0.3359998553456661,heldout_run
