event_id,split,source_run,stave,is_overlap,true_t1_sample,true_t2_sample,true_amp1_adc,true_amp2_adc,true_sep_sample,true_ratio,traditional_template_delta_sse,ridge_linear_classifier,gradient_boosted_trees,mlp_dense_waveform,random_filter_1d_cnn,hybrid_template_residual_stack
train:58:0,train,58,B6,1,8.818342440014867,9.568342440014867,3520.5,3520.5,0.75,1.0,0.9999999995748503,0.5769253887077094,0.9348395073135455,0.7788263588995846,0.8685306381404349,0.9255203111898401
train:58:1,train,58,B6,1,4.656407440326579,9.656407440326578,3191.5,797.875,5.0,0.25,0.9999999995006991,0.4541222940262034,0.7626371490321646,0.45417211911165895,0.46696038495403863,0.5226813897250184
train:58:2,train,58,B4,1,5.592833818645867,10.592833818645868,2176.5,1632.375,5.0,0.75,0.999999999918131,0.6097528681788421,0.9664894389679848,0.832672025979797,0.9486702464319894,0.8417159769811525
train:58:3,train,58,B8,1,6.680288144929554,8.180288144929554,3802.0,2851.5,1.5,0.75,0.9999999997919933,0.6660514718057835,0.9420057783654897,0.8644709633805739,0.9728228231172755,0.9483841160094268
train:58:4,train,58,B4,1,5.832331382352079,7.832331382352079,3459.5,2594.625,2.0,0.75,0.9999999997948142,0.6432252257860152,0.9449103842377047,0.8718404301186714,0.843307810001744,0.7250584549011083
train:58:5,train,58,B2,1,5.001073559977529,10.00107355997753,1721.5,1721.5,5.0,1.0,0.9999999997365743,0.4439458182479593,0.6165873953340301,0.3376913357421173,0.4250406231364819,0.4758177801823855
train:58:6,train,58,B6,1,7.893326428891547,8.643326428891548,1919.0,1439.25,0.75,0.75,0.9999999997516293,0.4863157604534603,0.7247101245801096,0.3916239339053097,0.6376140667265972,0.5248984971894077
train:58:7,train,58,B2,1,7.337344735013686,7.837344735013686,5285.5,3964.125,0.5,0.75,0.0,0.742754505598591,0.9923784607884408,0.7991918832156188,0.9240991323137229,0.8769774597711611
train:58:8,train,58,B8,1,7.549567916389037,8.549567916389037,4611.5,3458.625,1.0,0.75,0.9999999997751445,0.6430911384380502,0.9362823734269918,0.7860707039461621,0.6669847304522053,0.7305817138741618
train:58:9,train,58,B2,1,4.239971008052638,10.239971008052638,4075.5,4075.5,6.0,1.0,0.999999999966072,0.7541320945311458,0.9842017886308129,0.9548338585940983,0.9603692420007174,0.8994431687819303
train:58:10,train,58,B2,1,9.571446215936549,10.321446215936549,1619.5,404.875,0.75,0.25,0.0,0.1954567800184754,0.17629844292488406,0.0336320673419489,0.026870640138160533,0.09013290063048653
