heldout_run,check,value,actual,pass
58,train_heldout_run_overlap,0.0,,True
58,train_heldout_event_id_overlap,0.0,,True
58,normalized_waveform_exact_hash_overlap,0.0,,True
58,features_exclude_run_event_target_pair_residual,0.0,,True
58,traditional_shuffled_target_not_better,1.5633297415047547,1.2316335399943017,True
58,ml_shuffled_target_not_better,2.7031099198642488,1.2475492062715132,True
59,train_heldout_run_overlap,0.0,,True
59,train_heldout_event_id_overlap,0.0,,True
59,normalized_waveform_exact_hash_overlap,0.0,,True
59,features_exclude_run_event_target_pair_residual,0.0,,True
59,traditional_shuffled_target_not_better,1.620687648458031,1.3436452143752737,True
59,ml_shuffled_target_not_better,3.013116654366227,1.4990958084753019,True
60,train_heldout_run_overlap,0.0,,True
60,train_heldout_event_id_overlap,0.0,,True
60,normalized_waveform_exact_hash_overlap,0.0,,True
60,features_exclude_run_event_target_pair_residual,0.0,,True
60,traditional_shuffled_target_not_better,1.4910785282838388,1.3821216467477975,True
60,ml_shuffled_target_not_better,2.682478680359208,1.3101245393966674,True
61,train_heldout_run_overlap,0.0,,True
61,train_heldout_event_id_overlap,0.0,,True
61,normalized_waveform_exact_hash_overlap,0.0,,True
61,features_exclude_run_event_target_pair_residual,0.0,,True
61,traditional_shuffled_target_not_better,2.166087392264713,1.2934876050602524,True
61,ml_shuffled_target_not_better,2.6043995402361824,2.0177113353462577,True
62,train_heldout_run_overlap,0.0,,True
62,train_heldout_event_id_overlap,0.0,,True
62,normalized_waveform_exact_hash_overlap,0.0,,True
62,features_exclude_run_event_target_pair_residual,0.0,,True
62,traditional_shuffled_target_not_better,1.6887702989590365,1.3366687959296826,True
62,ml_shuffled_target_not_better,3.0497228833947085,1.4681064124628669,True
63,train_heldout_run_overlap,0.0,,True
63,train_heldout_event_id_overlap,0.0,,True
63,normalized_waveform_exact_hash_overlap,0.0,,True
63,features_exclude_run_event_target_pair_residual,0.0,,True
63,traditional_shuffled_target_not_better,1.5691950314031833,1.371809123944083,True
63,ml_shuffled_target_not_better,3.01738738131063,1.3596476200385792,True
65,train_heldout_run_overlap,0.0,,True
65,train_heldout_event_id_overlap,0.0,,True
65,normalized_waveform_exact_hash_overlap,0.0,,True
65,features_exclude_run_event_target_pair_residual,0.0,,True
65,traditional_shuffled_target_not_better,1.667355126675428,1.44512815649364,True
65,ml_shuffled_target_not_better,2.7486609058305116,1.3874850381507104,True
