method,subtype_vs_clean,n,positives,roc_auc,average_precision
1d_cnn,pileup,16225,5412,0.710135351092882,0.48183713627673797
1d_cnn,dropout,16201,5388,0.9800933374280498,0.954461996334338
atom_gated_cnn_new,pileup,16225,5412,0.9311930360986601,0.9207067159406002
atom_gated_cnn_new,dropout,16201,5388,0.9995619497853466,0.9992711778304338
gradient_boosted_trees,pileup,16225,5412,0.9058835758523127,0.8804431834133342
gradient_boosted_trees,dropout,16201,5388,0.9989320713038163,0.9983100893084792
mlp,pileup,16225,5412,0.9247288736854142,0.915868818674139
mlp,dropout,16201,5388,0.9988949277489201,0.9979304167745536
ridge,pileup,16225,5412,0.741106623525144,0.5601528452523449
ridge,dropout,16201,5388,0.969934480760222,0.957439426481319
traditional_analytic_shape_score,pileup,16225,5412,0.5794392770903656,0.37576410571981966
traditional_analytic_shape_score,dropout,16201,5388,0.3119251116589499,0.2653581475819327
traditional_smoothed_atom_table,pileup,16225,5412,0.514229838108559,0.3447197173018611
traditional_smoothed_atom_table,dropout,16201,5388,0.5551557159433937,0.38376643280491035
