method,run,n,positives,roc_auc,average_precision
1d_cnn,58,1890,973,0.8255493751127778,0.8559257627112712
1d_cnn,59,3600,1772,0.8471179445890611,0.8515458301968948
1d_cnn,60,3600,1760,0.8378172863142291,0.8503243747132124
1d_cnn,61,3600,1825,0.8445243295388771,0.8669661601453809
1d_cnn,62,3600,1797,0.847252970764425,0.8557167737485594
1d_cnn,63,3153,1619,0.8630478356350153,0.8753381724691353
1d_cnn,65,2170,1054,0.8442288465854604,0.8505181506429828
atom_gated_cnn_new,58,1890,973,0.9538409465604023,0.9706998102042443
atom_gated_cnn_new,59,3600,1772,0.9661655783374743,0.9752911177545521
atom_gated_cnn_new,60,3600,1760,0.9713469614624507,0.9795641919111912
atom_gated_cnn_new,61,3600,1825,0.9613866872467682,0.9736816872661075
atom_gated_cnn_new,62,3600,1797,0.9680875656753366,0.9772833810604498
atom_gated_cnn_new,63,3153,1619,0.9656724699280785,0.9764173724043748
atom_gated_cnn_new,65,2170,1054,0.9644144511776269,0.9742333988411462
gradient_boosted_trees,58,1890,973,0.9467632623921115,0.9652697010793191
gradient_boosted_trees,59,3600,1772,0.9556824861324468,0.9653670637291454
gradient_boosted_trees,60,3600,1760,0.9527924283596837,0.9644354389680994
gradient_boosted_trees,61,3600,1825,0.9451310823847193,0.959062843277177
gradient_boosted_trees,62,3600,1797,0.9572616096773108,0.9669526584151353
gradient_boosted_trees,63,3153,1619,0.9565649277283368,0.9688034279404183
gradient_boosted_trees,65,2170,1054,0.9498416171879782,0.9634753065876966
mlp,58,1890,973,0.9555041743206153,0.970614431798122
mlp,59,3600,1772,0.9640771100167448,0.9748125010532799
mlp,60,3600,1760,0.9665535449604743,0.9757331763477011
mlp,61,3600,1825,0.9550757476365038,0.9688228539449428
mlp,62,3600,1797,0.966359783098163,0.9762699827788234
mlp,63,3153,1619,0.9630618881228695,0.9748232196439899
mlp,65,2170,1054,0.9574304747913734,0.9696687850494504
ridge,58,1890,973,0.8592857759282525,0.8782333110837608
ridge,59,3600,1772,0.8550460975742279,0.8743933934906192
ridge,60,3600,1760,0.8523533226284584,0.871815584532259
ridge,61,3600,1825,0.8527595601003279,0.8833370114382838
ridge,62,3600,1797,0.858591891150315,0.8836639165361728
ridge,63,3153,1619,0.8503611368583468,0.8776130672828056
ridge,65,2170,1054,0.8644760019859488,0.8779674269740378
traditional_analytic_shape_score,58,1890,973,0.47577055974787075,0.5067392818149326
traditional_analytic_shape_score,59,3600,1772,0.4445591155390687,0.48826686803120123
traditional_analytic_shape_score,60,3600,1760,0.43660758399209487,0.4581156312486624
traditional_analytic_shape_score,61,3600,1825,0.4521582095311596,0.4967713048250267
traditional_analytic_shape_score,62,3600,1797,0.44908365486200424,0.4828719415637944
traditional_analytic_shape_score,63,3153,1619,0.4384360104463537,0.4904588898062134
traditional_analytic_shape_score,65,2170,1054,0.4424338413825467,0.46968439437272225
traditional_smoothed_atom_table,58,1890,973,0.5396355917291404,0.550198535197201
traditional_smoothed_atom_table,59,3600,1772,0.5326511106391176,0.5271290841753059
traditional_smoothed_atom_table,60,3600,1760,0.5468632658102767,0.5338629508000056
traditional_smoothed_atom_table,61,3600,1825,0.5240699208952344,0.5283994836037559
traditional_smoothed_atom_table,62,3600,1797,0.5282872699337746,0.5258265738498356
traditional_smoothed_atom_table,63,3153,1619,0.5364406377010935,0.5510592828545261
traditional_smoothed_atom_table,65,2170,1054,0.5408432970829677,0.5221020093268307
