event_index,run,group,current_nA,eventno,stratum,amp_bin,baseline_bin,p02_topology,ref_stave,ref_amp_adc,adaptive_lowering_adc,downstream,one_sse_norm,resid_late_max_frac,trad_secondary_fraction,trad_secondary_primary_ratio,trad_score_sse_improvement,trad_failed,trad_t1_sample,trad_t2_sample,trad_amp1_adc,trad_amp2_adc,method,accepted,pred_secondary_fraction,pred_overlap_probability,accepted_secondary_contribution,bad_proxy,bad_proxy_contribution,secondary_amplitude_sideband,delay_cell,baseline_state,saturation_support,joint_sideband_cell,blinded_recoverability_score,blinded_recoverable,adjudication_band,reviewer_a_score,reviewer_b_score,reviewer_a_label,reviewer_b_label,reviewer_consensus_label,reviewer_disagreement,p05g_label_changed,consensus_probability
138,44,high_20nA,20.0,325,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,B2,7550.5,1001.2425000000004,0,0.2827585752449557,0.3984504337461095,0.0,0.0,0.0,True,3.0666558177379986,8.066655817737999,2093.3533670085744,2730.5928400112016,traditional_template_fit,0,0.0,0.0,0.0,0,0.0,sec_tiny_lt0p12,delay_fit_unavailable,s16_large_lowering,sat_high_amp_large_lowering,sec_tiny_lt0p12|delay_fit_unavailable|s16_large_lowering|sat_high_amp_large_lowering,0.4881544645948159,1,borderline,0.5243455304738825,0.4903069383334536,1,1,1,0,0,0.500935644467384
1357,44,high_20nA,20.0,3081,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,B2,9112.5,293.8125,0,0.2777990929065189,0.5094650205761316,0.0,0.0,0.0,True,3.5641334941696825,8.564133494169683,3386.388106789311,3589.713744944028,traditional_template_fit,0,0.0,0.0,0.0,0,0.0,sec_tiny_lt0p12,delay_fit_unavailable,s16_large_lowering,sat_high_amp_large_lowering,sec_tiny_lt0p12|delay_fit_unavailable|s16_large_lowering|sat_high_amp_large_lowering,0.4033305313665568,0,borderline,0.2166284669935923,0.25523230143824266,0,0,0,0,0,0.2917304332661306
1398,44,high_20nA,20.0,3180,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,B2,9343.0,6624.855,0,0.2755682715231251,0.5538906132933747,0.0,0.0,0.0,True,,,,,traditional_template_fit,0,0.0,0.0,0.0,0,0.0,sec_tiny_lt0p12,delay_fit_unavailable,s16_large_lowering,sat_high_amp_large_lowering,sec_tiny_lt0p12|delay_fit_unavailable|s16_large_lowering|sat_high_amp_large_lowering,0.371072037506198,0,borderline,0.09551241395603041,0.19133441482927976,0,0,0,0,0,0.21930628876383607
1564,44,high_20nA,20.0,3558,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,B2,8968.0,6594.48,0,0.2540107900855446,0.5931088314005353,0.0,0.0,0.0,True,,,,,traditional_template_fit,0,0.0,0.0,0.0,0,0.0,sec_tiny_lt0p12,delay_fit_unavailable,s16_large_lowering,sat_high_amp_large_lowering,sec_tiny_lt0p12|delay_fit_unavailable|s16_large_lowering|sat_high_amp_large_lowering,0.374876351331995,0,borderline,0.13677865096434558,0.27031328874922683,0,0,0,0,0,0.26065609701518916
3055,45,high_20nA,20.0,6344,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,B2,7102.0,1141.4700000000005,1,0.2372542083431329,0.4372007885102787,0.0,0.0,0.0,True,3.8278670953912113,7.827867095391211,4214.543662314672,2098.777758950875,traditional_template_fit,0,0.0,0.0,0.0,1,0.0,sec_tiny_lt0p12,delay_fit_unavailable,s16_large_lowering,sat_high_amp_large_lowering,sec_tiny_lt0p12|delay_fit_unavailable|s16_large_lowering|sat_high_amp_large_lowering,0.43492569275264,0,borderline,0.7843958069884276,0.6822649023733521,1,1,1,0,1,0.6338621340381398
6001,45,high_20nA,20.0,13113,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,B2,5410.0,1999.8500000000004,1,0.2462995320274747,0.4181146025878003,0.0,0.0,0.0,True,,,,,traditional_template_fit,0,0.0,0.0,0.0,1,0.0,sec_tiny_lt0p12,delay_fit_unavailable,s16_large_lowering,sat_high_amp_large_lowering,sec_tiny_lt0p12|delay_fit_unavailable|s16_large_lowering|sat_high_amp_large_lowering,0.4351650284103273,0,borderline,0.7357127209278638,0.6795524953248293,1,1,1,0,1,0.6168100815543401
8860,45,high_20nA,20.0,19344,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,B2,8360.0,781.6000000000004,0,0.2883541717540553,0.4352870813397129,0.0,0.0,0.0,True,3.1797853309481217,9.17978533094812,6245.485086194541,1362.2685424378046,traditional_template_fit,0,0.0,0.0,0.0,0,0.0,sec_tiny_lt0p12,delay_fit_unavailable,s16_large_lowering,sat_high_amp_large_lowering,sec_tiny_lt0p12|delay_fit_unavailable|s16_large_lowering|sat_high_amp_large_lowering,0.4473970349749873,0,borderline,0.33343684415616087,0.3384797870543238,0,0,0,0,0,0.37310455539515736
14515,45,high_20nA,20.0,30767,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,B2,7311.0,567.335,0,0.3122972133944128,0.4630009574613596,0.0,0.0,0.0,True,3.1256645569620254,8.125664556962025,1691.956309773543,3010.852693208501,traditional_template_fit,0,0.0,0.0,0.0,0,0.0,sec_tiny_lt0p12,delay_fit_unavailable,s16_large_lowering,sat_high_amp_large_lowering,sec_tiny_lt0p12|delay_fit_unavailable|s16_large_lowering|sat_high_amp_large_lowering,0.385191007569208,0,borderline,0.10031171761062602,0.15258464518555098,0,0,0,0,0,0.212695790121795
21297,45,high_20nA,20.0,45071,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,B2,8690.5,649.1424999999999,1,0.240830587190321,0.4154536562913526,0.0,0.0,0.0,True,3.6290339989206695,7.629033998920669,5392.045034868918,1876.618352933042,traditional_template_fit,0,0.0,0.0,0.0,1,0.0,sec_tiny_lt0p12,delay_fit_unavailable,s16_large_lowering,sat_high_amp_large_lowering,sec_tiny_lt0p12|delay_fit_unavailable|s16_large_lowering|sat_high_amp_large_lowering,0.446934730575371,0,borderline,0.8172953321038766,0.6696634241715039,1,1,1,0,1,0.6446311622835839
25017,46,low_2nA,2.0,52705,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,B2,8884.5,349.2325000000001,0,0.2827127044436854,0.448477685857392,0.0,0.0,0.0,True,3.326381284221005,7.326381284221005,2353.4354809144697,4038.0531094338585,traditional_template_fit,0,0.0,0.0,0.0,0,0.0,sec_tiny_lt0p12,delay_fit_unavailable,s16_large_lowering,sat_high_amp_large_lowering,sec_tiny_lt0p12|delay_fit_unavailable|s16_large_lowering|sat_high_amp_large_lowering,0.4458271161687869,0,borderline,0.35457338586332554,0.34586979100548165,0,0,0,0,0,0.38209009767919805
25386,46,low_2nA,2.0,53468,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,B2,7165.5,715.0174999999999,0,0.2879698587043899,0.5091759123578257,0.0,0.0,0.0,True,4.568963757018887,9.568963757018889,2365.398650576152,2981.4920888721435,traditional_template_fit,0,0.0,0.0,0.0,0,0.0,sec_tiny_lt0p12,delay_fit_unavailable,s16_large_lowering,sat_high_amp_large_lowering,sec_tiny_lt0p12|delay_fit_unavailable|s16_large_lowering|sat_high_amp_large_lowering,0.386903435432005,0,borderline,0.14290639437492453,0.2183720192051955,0,0,0,0,0,0.24939394967070835
27739,47,low_2nA,2.0,58686,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,B2,9227.5,6737.0875,0,0.2914345955747694,0.525440260092116,0.0,0.0,0.0,True,,,,,traditional_template_fit,0,0.0,0.0,0.0,0,0.0,sec_tiny_lt0p12,delay_fit_unavailable,s16_large_lowering,sat_high_amp_large_lowering,sec_tiny_lt0p12|delay_fit_unavailable|s16_large_lowering|sat_high_amp_large_lowering,0.36832828200645,0,borderline,0.07136809523814426,0.15011177125781516,0,0,0,0,0,0.1966027161674698
30064,47,low_2nA,2.0,63280,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,B2,9284.5,6620.2325,0,0.2574697992369145,0.5490333351284399,0.0,0.0,0.0,True,,,,,traditional_template_fit,0,0.0,0.0,0.0,0,0.0,sec_tiny_lt0p12,delay_fit_unavailable,s16_large_lowering,sat_high_amp_large_lowering,sec_tiny_lt0p12|delay_fit_unavailable|s16_large_lowering|sat_high_amp_large_lowering,0.4048273914512681,0,borderline,0.20932453799703324,0.3275284875808106,0,0,0,0,0,0.3138934723430373
