metric,value,ci_low,ci_high,n_strata,n_bootstrap,bootstrap_unit
observed_downstream_high_minus_low,0.006762658473460766,0.005462767847670468,0.008970606968989233,9,400,run_within_current_group
predicted_downstream_base_high_minus_low,0.011872731539781491,0.002788958677677315,0.021011830111329854,9,400,run_within_current_group
residual_downstream_base_high_minus_low,-0.005110073066320748,-0.01190034478491973,0.0024149448862269686,9,400,run_within_current_group
predicted_downstream_taxon_high_minus_low,0.005538580393115743,-0.0043697637868760925,0.016010526237397626,9,400,run_within_current_group
residual_downstream_taxon_high_minus_low,0.0012240780803450101,-0.006350737371671912,0.009006084312026631,9,400,run_within_current_group
log_p04_charge_high_minus_low,0.03576728321406004,0.020243255931637266,0.05105357361258174,9,400,run_within_current_group
predicted_log_p04_charge_base_high_minus_low,0.017515229372879405,0.010523143003521026,0.02428107575446442,9,400,run_within_current_group
residual_log_p04_charge_base_high_minus_low,0.018252053841180706,0.01011961597344442,0.026594139306522015,9,400,run_within_current_group
predicted_log_p04_charge_taxon_high_minus_low,0.023364026574874585,0.014488786767429205,0.03241262105751424,9,400,run_within_current_group
residual_log_p04_charge_taxon_high_minus_low,0.012403256639185461,0.003068945959009775,0.019472587439719302,9,400,run_within_current_group
