representation,task,family,value,ci_low,ci_high,roc_auc,heldout_rows
negative_control_gaussian_noise,physics_q_template_top_quartile,physics_proxy,0.5085532988908901,0.4987984182458194,0.5144316505740419,0.5063261288589755,17995
negative_control_gaussian_noise,physics_peak_group,physics_proxy,0.334583068010365,0.3245182701126437,0.3434985745127012,0.4964394076746604,18187
negative_control_gaussian_noise,physics_timing_tail_top_quartile,physics_proxy,0.49971228397435374,0.4893907532346155,0.5033059959012005,0.49898958495258827,1318
negative_control_gaussian_noise,physics_anomaly_proxy_top5,physics_proxy,0.5165899305456956,0.5069839668813639,0.5268257606553233,0.5185252332422671,17995
negative_control_gaussian_noise,nuisance_sample_epoch,nuisance,0.5005474176077513,0.4915016457130524,0.5052477422504271,0.5021044264790576,18187
negative_control_gaussian_noise,nuisance_run_family,nuisance,0.24386279949058465,0.12997658079625293,0.35774901818491633,,18187
negative_control_gaussian_noise,nuisance_topology_multiplicity,nuisance,0.33690943114250055,0.3318138710578708,0.3447785184622362,0.5055508877966423,18187
negative_control_gaussian_noise,nuisance_amplitude_quartile,nuisance,0.2505590516501361,0.2464519985283961,0.2547270542567854,0.49748902953471474,18187
negative_control_gaussian_noise,nuisance_stave,nuisance,0.2513445129116728,0.2475265210421295,0.25563640061710924,0.4995031679174104,18187
ml_p01b_latent_residualized_label_shuffle,physics_q_template_top_quartile,physics_proxy,0.34338918380889183,0.30464137026504085,0.39119419728781496,0.2863910955224824,17995
ml_p01b_latent_residualized_label_shuffle,physics_peak_group,physics_proxy,0.11782150916705036,0.08484395562118462,0.1609871926092322,0.28240907460125664,18187
ml_p01b_latent_residualized_label_shuffle,physics_timing_tail_top_quartile,physics_proxy,0.47014571248578463,0.43124257461268384,0.5168376449598573,0.433065798336974,1318
ml_p01b_latent_residualized_label_shuffle,physics_anomaly_proxy_top5,physics_proxy,0.5551590569473861,0.47505337482621157,0.6463368180337365,0.543160133347121,17995
ml_p01b_latent_residualized_label_shuffle,nuisance_sample_epoch,nuisance,0.5000017647207817,0.45766210110472405,0.5316980148200234,0.4874770528288523,18187
ml_p01b_latent_residualized_label_shuffle,nuisance_run_family,nuisance,0.24811818066054458,0.10810157194679565,0.3881347893742936,,18187
ml_p01b_latent_residualized_label_shuffle,nuisance_topology_multiplicity,nuisance,0.3353239760138446,0.3171003689064824,0.3514926340288212,0.49460183218427484,18187
ml_p01b_latent_residualized_label_shuffle,nuisance_amplitude_quartile,nuisance,0.2608874496715442,0.23899352581628702,0.2680894556028736,0.4878138839270678,18187
ml_p01b_latent_residualized_label_shuffle,nuisance_stave,nuisance,0.2788998363576295,0.24631127417681425,0.3015288289633915,0.5049967998940281,18187
