method,run,n,positives,roc_auc,average_precision
1d_cnn,58,2590,672,0.6786381523412285,0.4635061298660672
1d_cnn,59,5719,3480,0.656180791917574,0.7130454350414346
1d_cnn,60,5727,3809,0.697083713974175,0.7875172442257381
1d_cnn,61,5859,3941,0.7062675506473349,0.7968515302997942
1d_cnn,62,5729,3695,0.6791789909827919,0.7648028795635224
1d_cnn,63,4806,2434,0.6400886437359443,0.627065976001312
1d_cnn,65,2870,750,0.6371106918238995,0.37858716015698446
atom_gated_cnn_new,58,2590,672,0.9999945689954813,0.9999845252039796
atom_gated_cnn_new,59,5719,3480,0.9997191890879036,0.9998220058986538
atom_gated_cnn_new,60,5727,3809,0.999883515005211,0.9999421196531268
atom_gated_cnn_new,61,5859,3941,0.9998634710784912,0.9999337690190855
atom_gated_cnn_new,62,5729,3695,0.9998791851115608,0.9999338508902853
atom_gated_cnn_new,63,4806,2434,0.9998241951776476,0.9998316460030243
atom_gated_cnn_new,65,2870,750,0.9999088050314465,0.9997562574266519
gradient_boosted_trees,58,2590,672,0.9999534485326976,0.9998693202142062
gradient_boosted_trees,59,5719,3480,0.9996574568901346,0.9997861544498106
gradient_boosted_trees,60,5727,3809,0.9998494318516242,0.9999250401371086
gradient_boosted_trees,61,5859,3941,0.999822922517985,0.9999141692434939
gradient_boosted_trees,62,5729,3695,0.9997141290883134,0.9998430703363441
gradient_boosted_trees,63,4806,2434,0.9997392372807377,0.9997483325975944
gradient_boosted_trees,65,2870,750,0.9998119496855347,0.9994807791389949
mlp,58,2590,672,0.9999720691196186,0.9999203815321761
mlp,59,5719,3480,0.999888728034375,0.9999288351190386
mlp,60,5727,3809,0.9999274535285098,0.9999636372896825
mlp,61,5859,3941,0.999932264721112,0.9999671388855814
mlp,62,5729,3695,0.9999164408040311,0.9999543042969364
mlp,63,4806,2434,0.9999527145650224,0.9999542344448253
mlp,65,2870,750,0.9999232704402515,0.9997892265570172
q_token_attention,58,2590,672,0.6501533094989822,0.36425137973193444
q_token_attention,59,5719,3480,0.4148176525850518,0.527793131123351
q_token_attention,60,5727,3809,0.3848584837349442,0.5705591325744763
q_token_attention,61,5859,3941,0.42147384293723456,0.5936632967637843
q_token_attention,62,5729,3695,0.40456329010342446,0.5592522468833185
q_token_attention,63,4806,2434,0.46712103408569716,0.46285386069632894
q_token_attention,65,2870,750,0.4927440251572327,0.24984312294582722
ridge,58,2590,672,0.9914903917771488,0.9793349701399799
ridge,59,5719,3480,0.9834188086840904,0.9900749788239998
ridge,60,5727,3809,0.983759719516178,0.9919986792094949
ridge,61,5859,3941,0.9848045427088133,0.9927797243076414
ridge,62,5729,3695,0.9833479029702101,0.9910870257913926
ridge,63,4806,2434,0.9842281423509833,0.986021943226059
ridge,65,2870,750,0.9862886792452831,0.9659354014832408
traditional_atom_table,58,2590,672,0.932585328839565,0.8301594172988496
traditional_atom_table,59,5719,3480,0.8791746238314518,0.9180631832498412
traditional_atom_table,60,5727,3809,0.8888145249533854,0.9412169555420022
traditional_atom_table,61,5859,3941,0.8831193365964451,0.9395687229555054
traditional_atom_table,62,5729,3695,0.886769505683489,0.9326326931811675
traditional_atom_table,63,4806,2434,0.8773286777676009,0.871230509219967
traditional_atom_table,65,2870,750,0.9024383647798742,0.7669907803799806
traditional_charge_depth_rule,58,2590,672,0.9999999999999999,1.0
traditional_charge_depth_rule,59,5719,3480,1.0,1.0
traditional_charge_depth_rule,60,5727,3809,1.0,1.0
traditional_charge_depth_rule,61,5859,3941,1.0,1.0
traditional_charge_depth_rule,62,5729,3695,1.0,1.0
traditional_charge_depth_rule,63,4806,2434,1.0,1.0
traditional_charge_depth_rule,65,2870,750,1.0,1.0
