geometry,method,saturated_energy_res68,saturated_energy_res68_ci95,traditional_minus_observed_res68,traditional_worsens_observed
center_4cm,observed_even_charge,0.3978383018775359,"[0.3926932677581077, 0.40228899987056876]",0.0,False
center_4cm,traditional_template_corrected,0.3978383018775359,"[0.39241085994847813, 0.4020916512331152]",0.0,False
center_4cm,p07_p04_corrected,0.026961465767148796,"[0.026403345084226065, 0.02806067878871846]",0.0,False
center_4cm,gradient_boosted_trees,0.0182769327627102,"[0.01677008222965071, 0.02036959525719971]",0.0,False
center_2cm,observed_even_charge,0.3727086305057754,"[0.3676901418802455, 0.37705423280694783]",0.0,False
center_2cm,traditional_template_corrected,0.3727086305057754,"[0.36741483657776, 0.3768614581895457]",0.0,False
center_2cm,p07_p04_corrected,0.02522412205091302,"[0.024707036654668103, 0.026273374231119345]",0.0,False
center_2cm,gradient_boosted_trees,0.017076778260249375,"[0.015674321896237298, 0.019054576210867407]",0.0,False
zero_4cm,observed_even_charge,0.6925557009444568,"[0.6873620960913616, 0.6964732308439666]",-4.4511021866755485e-05,False
zero_4cm,traditional_template_corrected,0.6925111899225901,"[0.6866652001165243, 0.6965583596070619]",-4.4511021866755485e-05,False
zero_4cm,p07_p04_corrected,0.04776718635796722,"[0.046804342404073704, 0.05031302323272989]",-4.4511021866755485e-05,False
zero_4cm,gradient_boosted_trees,0.03272313145785976,"[0.03042339569258338, 0.03690809961358463]",-4.4511021866755485e-05,False
