check,value,flag
forbidden_feature_overlap,,False
control_A1_adjacent_train_heldout_run_overlap,,False
control_A1_adjacent_antisymmetric_shared_cnn_finite_predictions,22,False
control_A1_adjacent_cnn1d_waveform_finite_predictions,22,False
control_A1_adjacent_gradient_boosted_trees_finite_predictions,22,False
control_A1_adjacent_mlp_waveform_finite_predictions,22,False
control_A1_adjacent_ridge_shape_waveform_finite_predictions,22,False
control_A1_adjacent_traditional_cfd20_poly_finite_predictions,22,False
control_A3_adjacent_train_heldout_run_overlap,,False
control_A3_adjacent_antisymmetric_shared_cnn_finite_predictions,10,False
control_A3_adjacent_cnn1d_waveform_finite_predictions,10,False
control_A3_adjacent_gradient_boosted_trees_finite_predictions,10,False
control_A3_adjacent_mlp_waveform_finite_predictions,10,False
control_A3_adjacent_ridge_shape_waveform_finite_predictions,10,False
control_A3_adjacent_traditional_cfd20_poly_finite_predictions,10,False
fit_meta_rows,12,False
