metric,value,ci_low,ci_high,n_strata,n_bootstrap,bootstrap_unit
observed_downstream_high_minus_low,0.006762658473460766,0.005378169746598594,0.009241345678880245,9,400,run_within_current_group
predicted_downstream_base_high_minus_low,0.007918391156708022,0.0014631092802369042,0.017770306726272177,9,400,run_within_current_group
residual_downstream_base_high_minus_low,-0.0011557326832472652,-0.007895742629264443,0.005181007677258119,9,400,run_within_current_group
predicted_downstream_p09a_high_minus_low,0.0010198883290695447,-0.0061742215053727355,0.012252762917411154,9,400,run_within_current_group
residual_downstream_p09a_high_minus_low,0.005742770144391207,-0.003633085027269085,0.012562166061696892,9,400,run_within_current_group
predicted_downstream_p09b_high_minus_low,0.0030704783915506914,-0.00416286509460931,0.012488741148145069,9,400,run_within_current_group
residual_downstream_p09b_high_minus_low,0.003692180081910071,-0.004750185335490397,0.009226215853578,9,400,run_within_current_group
log_p04_charge_high_minus_low,0.03576728321406004,0.018237593606070718,0.05092701129112338,9,400,run_within_current_group
predicted_log_p04_charge_base_high_minus_low,0.016738410005215462,0.010434102153610327,0.026291244448037973,9,400,run_within_current_group
residual_log_p04_charge_base_high_minus_low,0.019028873208844974,0.009517128873625574,0.026723807740325248,9,400,run_within_current_group
predicted_log_p04_charge_p09a_high_minus_low,0.023915810223958764,0.014124433921605695,0.03475154687413502,9,400,run_within_current_group
residual_log_p04_charge_p09a_high_minus_low,0.011851472990101381,0.003827549188245651,0.01833345466966877,9,400,run_within_current_group
predicted_log_p04_charge_p09b_high_minus_low,0.02207397055636928,0.012964200034689401,0.03257206655167978,9,400,run_within_current_group
residual_log_p04_charge_p09b_high_minus_low,0.013693312657690254,0.004509296803602346,0.020204530274466698,9,400,run_within_current_group
