method,run,n,pathology_fraction,roc_auc,average_precision
traditional timing/template reference,58,37,0.5945945945945946,0.7712121212121212,0.8461755961755961
traditional timing/template reference,59,415,0.5012048192771085,0.717426142697882,0.6809128868935682
traditional timing/template reference,60,428,0.5420560747663551,0.6963625967628431,0.7127422683059155
traditional timing/template reference,61,607,0.586490939044481,0.8240409149917185,0.8631300430154112
traditional timing/template reference,62,420,0.55,0.7723264389931057,0.7766936697742821
traditional timing/template reference,63,194,0.44329896907216493,0.7651808785529716,0.7319656457402329
traditional timing/template reference,65,54,0.5555555555555556,0.7715277777777778,0.8035335654683482
ridge_logistic,58,37,0.5945945945945946,0.6121212121212121,0.7692313517051936
ridge_logistic,59,415,0.5012048192771085,0.6509197324414716,0.6370681909225091
ridge_logistic,60,428,0.5420560747663551,0.5976864883884588,0.6261274631713107
ridge_logistic,61,607,0.586490939044481,0.6141949057701777,0.6631320436718748
ridge_logistic,62,420,0.55,0.6492819349962207,0.6599650700875891
ridge_logistic,63,194,0.44329896907216493,0.648040482342808,0.6042376420270988
ridge_logistic,65,54,0.5555555555555556,0.5694444444444444,0.6591027739110837
gradient_boosted_trees,58,37,0.5945945945945946,0.6272727272727273,0.774499542397292
gradient_boosted_trees,59,415,0.5012048192771085,0.5539297658862876,0.5883041202157892
gradient_boosted_trees,60,428,0.5420560747663551,0.5704169598874032,0.664571586555756
gradient_boosted_trees,61,607,0.586490939044481,0.6672075741975916,0.7462710889581694
gradient_boosted_trees,62,420,0.55,0.5731006207196683,0.6769698954171091
gradient_boosted_trees,63,194,0.44329896907216493,0.6858311800172265,0.661565645695966
gradient_boosted_trees,65,54,0.5555555555555556,0.6124999999999999,0.6940441445835965
mlp,58,37,0.5945945945945946,0.5303030303030303,0.6460844438720926
mlp,59,415,0.5012048192771085,0.5622909698996655,0.5548003895384629
mlp,60,428,0.5420560747663551,0.6429890921885997,0.6599294487590576
mlp,61,607,0.586490939044481,0.6805474730292315,0.6973167510200795
mlp,62,420,0.55,0.6734693877551021,0.6993719273679144
mlp,63,194,0.44329896907216493,0.6366279069767442,0.6090482655217788
mlp,65,54,0.5555555555555556,0.6708333333333334,0.7131916466149486
cnn_1d,58,37,0.5945945945945946,0.4939393939393939,0.6276915528066304
cnn_1d,59,415,0.5012048192771085,0.5448021181716833,0.5513020653005511
cnn_1d,60,428,0.5420560747663551,0.5296666080225194,0.585256227595899
cnn_1d,61,607,0.586490939044481,0.5833631765074534,0.6624160405648589
cnn_1d,62,420,0.55,0.5803614375042947,0.6063954938591487
cnn_1d,63,194,0.44329896907216493,0.5263781223083549,0.5110479533039776
cnn_1d,65,54,0.5555555555555556,0.4833333333333333,0.5763904355521193
residual_tcn_fusion,58,37,0.5945945945945946,0.6484848484848484,0.7360632727545148
residual_tcn_fusion,59,415,0.5012048192771085,0.6267186919360832,0.6132989158694688
residual_tcn_fusion,60,428,0.5420560747663551,0.6128826530612245,0.653538179559451
residual_tcn_fusion,61,607,0.586490939044481,0.654337705358342,0.7280305113153211
residual_tcn_fusion,62,420,0.55,0.5736045259854784,0.6181178897074676
residual_tcn_fusion,63,194,0.44329896907216493,0.6449181739879414,0.628236757416788
residual_tcn_fusion,65,54,0.5555555555555556,0.46249999999999997,0.6068062113013469
