support_choice,n_strata,trad_score_threshold,secondary_fraction_delta,ci_low,ci_high
all_matched,8,0.0,0.01751472738716328,-0.007171662630667296,0.041240425205541456
all_matched,8,0.005,0.01749436525050415,-0.006896984226514638,0.04118950962320414
all_matched,8,0.015,0.017635878073439484,-0.00856899944150422,0.03988656880605634
all_matched,8,0.03,0.01803909187138298,-0.00880078822347104,0.044447539301603646
all_matched,8,0.06,0.01766155861279018,-0.006726021356072103,0.04106824132204752
dominant_three,3,0.0,0.01761331743106816,-0.008956953995862714,0.041676517728730544
dominant_three,3,0.005,0.017612574175263827,-0.004709302272501064,0.04223138889427292
dominant_three,3,0.015,0.017860703646568873,-0.005994294700613324,0.04164344371855416
dominant_three,3,0.03,0.018223410966019055,-0.006462652197449045,0.04401706015581463
dominant_three,3,0.06,0.017896367654150886,-0.004748438833172096,0.042184213798246585
dominant_one,1,0.0,0.017768175786615187,0.0031653018416392784,0.032723921384846325
dominant_one,1,0.005,0.017768175786615187,0.0036033265231524515,0.03141272759088685
dominant_one,1,0.015,0.017768175786615187,0.0036749547816321807,0.032165614061731615
dominant_one,1,0.03,0.017768175786615187,0.0035899775679673063,0.032819721257070486
dominant_one,1,0.06,0.017734315409890573,0.00342489922256139,0.032715958921460106
