run,stave,delayed_candidates,selected_pulses
37,B2,19,22956
37,B4,2,997
37,B6,0,423
37,B8,0,161
40,B2,10,13575
40,B4,0,707
40,B6,0,310
40,B8,0,116
42,B2,9,16977
42,B4,0,711
42,B6,0,307
42,B8,0,117
49,B2,10,13779
49,B4,2,640
49,B6,0,281
49,B8,0,115
52,B2,0,6893
52,B4,0,148
52,B6,0,76
52,B8,0,35
57,B2,3,12774
57,B4,0,656
57,B6,0,273
57,B8,0,130
58,B2,0,15791
58,B4,0,591
58,B6,0,285
58,B8,0,114
60,B2,4,9873
60,B4,0,4040
60,B6,0,2189
60,B8,0,927
62,B2,3,11635
62,B4,1,4183
62,B6,0,2342
62,B8,0,929
64,B2,4,11907
64,B4,0,1689
64,B6,0,763
64,B8,0,271
65,B2,2,11768
65,B4,0,842
65,B6,0,323
65,B8,0,105
