theta_cm_bin_low,theta_cm_bin_high,unweighted_fraction,primary_weighted_fraction,intended_sigma_sintheta_fraction,sigma_only_fraction
0.0,10.0,0.04583333333333333,0.203140478380739,0.09457351169738334,0.3448001745269464
10.0,20.0,0.0647,0.2443099266559404,0.20800798080189717,0.25537462234960484
20.0,30.0,0.05566666666666667,0.1686023355168342,0.22071360940379614,0.16594907017226326
30.0,40.0,0.0558,0.12862765760750108,0.15196842274497557,0.08418913055238514
40.0,50.0,0.0547,0.08661298535977352,0.09569754578500729,0.04300409056691903
50.0,60.0,0.0557,0.054818487449196485,0.06270504748058653,0.024323829548277165
60.0,70.0,0.05723333333333333,0.035460424333491045,0.04062918801451033,0.014244801481877987
70.0,80.0,0.05503333333333333,0.022447815057980696,0.0262096117889253,0.008622054823479275
80.0,90.0,0.055733333333333336,0.014150108746896324,0.017538875127067418,0.005594373780257025
90.0,100.0,0.0564,0.009638210511825748,0.013437011008775058,0.004286002467541671
100.0,110.0,0.0542,0.0060944538380016434,0.010355560670323246,0.003406620920082461
110.0,120.0,0.053066666666666665,0.003883110684340817,0.00934615736606788,0.003276810657660227
120.0,130.0,0.05393333333333333,0.002909229633021516,0.009137198662195057,0.0035443982859081277
130.0,140.0,0.0566,0.002403780509496591,0.009251179458011398,0.004157249342181891
140.0,150.0,0.0558,0.0022094307144705366,0.009177423366209813,0.005084209469022032
150.0,160.0,0.0571,0.0027684329620708487,0.00973948190433135,0.007322874064491524
160.0,170.0,0.05563333333333333,0.0041740351284219246,0.007920164470080523,0.009723708689907741
170.0,180.0,0.05686666666666667,0.00774909690999763,0.0035920302498567065,0.013095978301194145
