method,heldout_run,roc_auc,average_precision,n_negative,n_positive
traditional_nearest_neighbor,58,0.7940102264426588,0.8285180316114116,37,37
traditional_nearest_neighbor,59,0.8045115401364494,0.8242020620889376,415,415
traditional_nearest_neighbor,60,0.8353458817363962,0.8600255464224765,428,428
traditional_nearest_neighbor,61,0.8344981259278761,0.8550052856828078,607,607
traditional_nearest_neighbor,62,0.8571371882086168,0.8756222095062172,420,420
traditional_nearest_neighbor,63,0.7750292273355299,0.7955627187617206,194,194
traditional_nearest_neighbor,65,0.77400548696845,0.8039940497680199,54,54
ridge,58,0.7969320672023374,0.846717090446593,37,37
ridge,59,0.8313136884888954,0.8422809023195501,415,415
ridge,60,0.8476668267971003,0.840187295405886,428,428
ridge,61,0.8511870028145008,0.8345416343905001,607,607
ridge,62,0.850498866213152,0.8735598900460343,420,420
ridge,63,0.7919545116377936,0.7849215000063677,194,194
ridge,65,0.7596021947873799,0.7620245642970009,54,54
gradient_boosted_trees,58,0.9236669101533967,0.9237721606431168,37,37
gradient_boosted_trees,59,0.9312904630570474,0.9363427913681461,415,415
gradient_boosted_trees,60,0.9490266617171804,0.9524846785692735,428,428
gradient_boosted_trees,61,0.9213066123126945,0.9251356155786655,607,607
gradient_boosted_trees,62,0.9457851473922902,0.9516469460338018,420,420
gradient_boosted_trees,63,0.9194786906153682,0.9144924348763273,194,194
gradient_boosted_trees,65,0.9005486968449932,0.881704538532186,54,54
mlp,58,0.8918918918918919,0.8943238397603779,37,37
mlp,59,0.9222064160255479,0.9277068683170531,415,415
mlp,60,0.9117826884444057,0.9125152311929035,428,428
mlp,61,0.9184934685668845,0.9186865736033709,607,607
mlp,62,0.9356292517006802,0.9406335872830045,420,420
mlp,63,0.8971729195451162,0.8777913406674682,194,194
mlp,65,0.8295610425240055,0.8110624153885003,54,54
cnn,58,0.758217677136596,0.7735939398228311,37,37
cnn,59,0.7501291914646537,0.759379218377056,415,415
cnn,60,0.8256452528605118,0.8300456778291546,428,428
cnn,61,0.7611256917510971,0.770737342350524,607,607
cnn,62,0.7731292517006803,0.7786926099234528,420,420
cnn,63,0.7039005207779786,0.7003597511582323,194,194
cnn,65,0.7170781893004116,0.7215045971896727,54,54
attention,58,0.706355003652301,0.7503110396995276,37,37
attention,59,0.7015938452605603,0.7310809158901244,415,415
attention,60,0.7709734474626604,0.7916767597756804,428,428
attention,61,0.6859755352843949,0.7190376105593164,607,607
attention,62,0.7159013605442177,0.7549371886973408,420,420
attention,63,0.7270831119141248,0.7317302145736154,194,194
attention,65,0.7280521262002744,0.7253501982648775,54,54
