method,heldout_run,n_clean,n_tail,roc_auc,average_precision
traditional_upstream_q,58,16,0,,
traditional_upstream_q,59,127,5,0.6692913385826772,0.0653621244945955
traditional_upstream_q,60,154,6,0.7069716775599129,0.06783851807107621
traditional_upstream_q,61,220,9,0.6585858585858586,0.06411332849284755
traditional_upstream_q,62,129,1,0.9922480620155039,0.5
traditional_upstream_q,63,67,2,0.5895522388059702,0.05277777777777778
traditional_upstream_q,65,15,0,,
ridge,58,16,0,,
ridge,59,127,5,0.7748031496062993,0.15024797515905586
ridge,60,154,6,0.9534632034632035,0.31395636527215476
ridge,61,220,9,0.8101010101010101,0.29010852066866866
ridge,62,129,1,0.3798449612403101,0.012345679012345678
ridge,63,67,2,0.8656716417910448,0.18382352941176472
ridge,65,15,0,,
gradient_boosted_trees,58,16,0,,
gradient_boosted_trees,59,127,5,0.762992125984252,0.1581512605042017
gradient_boosted_trees,60,154,6,0.8863636363636365,0.3784404502541757
gradient_boosted_trees,61,220,9,0.6901515151515151,0.10897709201029131
gradient_boosted_trees,62,129,1,0.32558139534883723,0.011235955056179775
gradient_boosted_trees,63,67,2,0.9552238805970148,0.3333333333333333
gradient_boosted_trees,65,15,0,,
mlp,58,16,0,,
mlp,59,127,5,0.6125984251968504,0.062180325421704735
mlp,60,154,6,0.8300865800865801,0.21791443850267378
mlp,61,220,9,0.5308080808080808,0.20915808897821864
mlp,62,129,1,0.0,0.007692307692307693
mlp,63,67,2,0.544776119402985,0.2661290322580645
mlp,65,15,0,,
one_dimensional_cnn,58,16,0,,
one_dimensional_cnn,59,127,5,0.7543307086614173,0.1526610644257703
one_dimensional_cnn,60,154,6,0.9588744588744589,0.3479358117516012
one_dimensional_cnn,61,220,9,0.7888888888888889,0.22570680535794024
one_dimensional_cnn,62,129,1,0.007751937984496138,0.007751937984496124
one_dimensional_cnn,63,67,2,0.7388059701492538,0.19523809523809524
one_dimensional_cnn,65,15,0,,
amplitude_residual_stack,58,16,0,,
amplitude_residual_stack,59,127,5,0.4976377952755906,0.044547806788456976
amplitude_residual_stack,60,154,6,0.11796536796536794,0.023848647241504616
amplitude_residual_stack,61,220,9,0.36969696969696964,0.032491074360265396
amplitude_residual_stack,62,129,1,0.0,0.007692307692307693
amplitude_residual_stack,63,67,2,0.2388059701492537,0.02832244008714597
amplitude_residual_stack,65,15,0,,
