ml_method,traditional_method,metric,delta_ml_minus_traditional,ci_low,ci_high,bootstrap_unit
hgb_full_unconstrained,signed_shared_shrinkage,sigma68_ns,-0.12625149129669744,-0.298534541297238,-0.014087025999150127,heldout_run
hgb_full_unconstrained,signed_shared_shrinkage,full_rms_ns,-0.3226478486139659,-0.3722186218936335,-0.2378386687755167,heldout_run
hgb_full_unconstrained,signed_shared_shrinkage,tail_frac_abs_gt5ns,-0.0058683618906861315,-0.013144721685735597,-0.00271963708632444,heldout_run
hgb_full_unconstrained,signed_shared_shrinkage,bias_vs_log_amp_slope_ns,-1.129930270435442,-1.4105394822169268,-0.8585169338934044,heldout_run
hgb_full_unconstrained,signed_shared_shrinkage,calibration_coverage_abs_le2ns,0.05585807872637011,0.04140322251682638,0.14041439852713306,heldout_run
full_monotone_log_amp,signed_shared_shrinkage,sigma68_ns,-0.15862906900350504,-0.2910777534020005,-0.030493216533303998,heldout_run
full_monotone_log_amp,signed_shared_shrinkage,full_rms_ns,-0.279751912385118,-0.34694724385813647,-0.17406278877649367,heldout_run
full_monotone_log_amp,signed_shared_shrinkage,tail_frac_abs_gt5ns,-0.006309983115714549,-0.013323524603563838,-0.0033016862315403675,heldout_run
full_monotone_log_amp,signed_shared_shrinkage,bias_vs_log_amp_slope_ns,-0.9658625785715296,-1.2039713430662806,-0.724675421513402,heldout_run
full_monotone_log_amp,signed_shared_shrinkage,calibration_coverage_abs_le2ns,0.057153291335707124,0.04138674911018828,0.1543011810732756,heldout_run
amplitude_only,signed_shared_shrinkage,sigma68_ns,-0.08206721099049119,-0.1933748195095772,0.033470605457221136,heldout_run
amplitude_only,signed_shared_shrinkage,full_rms_ns,-0.1521984316788323,-0.1833597688490895,-0.12160076078569636,heldout_run
amplitude_only,signed_shared_shrinkage,tail_frac_abs_gt5ns,-0.00411701811190441,-0.008629844927049312,-0.002778550037089704,heldout_run
amplitude_only,signed_shared_shrinkage,bias_vs_log_amp_slope_ns,-1.2181854135515384,-1.5801540355115857,-0.9297677178699222,heldout_run
amplitude_only,signed_shared_shrinkage,calibration_coverage_abs_le2ns,0.04073851093718639,0.015348232184405924,0.11873639405921238,heldout_run
hgb_full_unconstrained,monotone_residual_table,sigma68_ns,-0.19622174327098285,-0.32741065859351237,-0.06899712534942662,heldout_run
hgb_full_unconstrained,monotone_residual_table,full_rms_ns,-0.3373536329513147,-0.39807030115561337,-0.262911452154458,heldout_run
hgb_full_unconstrained,monotone_residual_table,tail_frac_abs_gt5ns,-0.004384968953122612,-0.010962999145634986,-0.0014644843859496896,heldout_run
hgb_full_unconstrained,monotone_residual_table,bias_vs_log_amp_slope_ns,-0.23799963205378588,-0.5030424094503717,-0.029146887847196993,heldout_run
hgb_full_unconstrained,monotone_residual_table,calibration_coverage_abs_le2ns,0.06379039420646304,0.05200717602424354,0.17363809523809526,heldout_run
hgb_full_unconstrained,robust_heavytail_table,sigma68_ns,-0.1690698487272395,-0.28848268635521573,-0.07933941774332072,heldout_run
hgb_full_unconstrained,robust_heavytail_table,full_rms_ns,-0.33992260768092697,-0.39646041960721234,-0.26669667437256983,heldout_run
hgb_full_unconstrained,robust_heavytail_table,tail_frac_abs_gt5ns,-0.0046501874064871435,-0.011548112563336028,-0.0017643205222124363,heldout_run
hgb_full_unconstrained,robust_heavytail_table,bias_vs_log_amp_slope_ns,-0.3857164167931221,-0.5627303178683605,-0.1949554741146323,heldout_run
hgb_full_unconstrained,robust_heavytail_table,calibration_coverage_abs_le2ns,0.09578666948279152,0.050446287924823696,0.17575997800787443,heldout_run
hgb_full_unconstrained,s03a_amp_only,sigma68_ns,-0.16375049128465302,-0.2601506008585116,-0.12592017524130292,heldout_run
hgb_full_unconstrained,s03a_amp_only,full_rms_ns,-0.2875259798325309,-0.342661638499844,-0.20576250445166264,heldout_run
hgb_full_unconstrained,s03a_amp_only,tail_frac_abs_gt5ns,-0.003559441147596716,-0.0074577380839151095,-0.0005549554621689069,heldout_run
hgb_full_unconstrained,s03a_amp_only,bias_vs_log_amp_slope_ns,-0.5906539468683996,-0.8639705342698547,-0.3324621621160663,heldout_run
hgb_full_unconstrained,s03a_amp_only,calibration_coverage_abs_le2ns,0.04845039810836149,0.030983997276132103,0.05923715529678995,heldout_run
