run,charge_proxy,n_kept,acceptance,unsaturated_control_res68_frac,energy_proxy_res68_frac,depth_ordering_violation_fraction
44,traditional_saturation_corrected,1039,0.543694400837258,0.2742506902450809,0.09598353928526603,0.0
44,ml_score_adjusted_monotonic,1039,0.543694400837258,0.02893937166677098,0.10314506588236033,0.0
45,traditional_saturation_corrected,11478,0.49906517674681505,0.2558524275943232,0.10148929173658285,0.0
45,ml_score_adjusted_monotonic,11478,0.49906517674681505,0.026822842621709204,0.10675877974003455,0.0
46,traditional_saturation_corrected,378,0.5591715976331361,0.26115705056676863,0.08517442070896128,0.0
46,ml_score_adjusted_monotonic,378,0.5591715976331361,0.022733221021426123,0.10157418835691168,0.0
47,traditional_saturation_corrected,2771,0.537015503875969,0.25613308918433736,0.09249648376513166,0.0
47,ml_score_adjusted_monotonic,2771,0.537015503875969,0.022610862505887924,0.10481093703032159,0.0
48,traditional_saturation_corrected,7258,0.5508918406072106,0.28483189939826636,0.08944487885894217,0.0
48,ml_score_adjusted_monotonic,7258,0.5508918406072106,0.027898258067334415,0.10122404473303073,0.0
49,traditional_saturation_corrected,7699,0.5530493499030242,0.2763076010390278,0.09014921669590774,0.0
49,ml_score_adjusted_monotonic,7699,0.5530493499030242,0.02759113045135095,0.10130926927968073,0.0
50,traditional_saturation_corrected,11704,0.3416827231856134,0.10727610693067825,0.16314637939772858,0.0
50,ml_score_adjusted_monotonic,11704,0.3416827231856134,0.015910248723600664,0.15913288091527922,0.0
51,traditional_saturation_corrected,5397,0.37757100881488737,0.12581370990349583,0.15950962398937066,0.0
51,ml_score_adjusted_monotonic,5397,0.37757100881488737,0.017754678695832336,0.1530526671655423,0.0
52,traditional_saturation_corrected,2549,0.3676619068224434,0.12386543707805302,0.1570367461581111,0.0
52,ml_score_adjusted_monotonic,2549,0.3676619068224434,0.017523040389519087,0.1502493743576777,0.0
53,traditional_saturation_corrected,14330,0.4566311898540565,0.0869170995481227,0.16157206244772138,0.0
53,ml_score_adjusted_monotonic,14330,0.4566311898540565,0.014202812040472055,0.16121664282330495,0.0
54,traditional_saturation_corrected,13485,0.45459142394822005,0.08838808236186971,0.1615818986911012,0.0
54,ml_score_adjusted_monotonic,13485,0.45459142394822005,0.014193164024632937,0.16130727302419268,0.0
55,traditional_saturation_corrected,6459,0.38364219529579474,0.12293482413819927,0.16003978093054402,0.0
55,ml_score_adjusted_monotonic,6459,0.38364219529579474,0.016972863452308563,0.15426294971470433,0.0
56,traditional_saturation_corrected,13647,0.35059730250481697,0.11453417523401646,0.1620924825305886,0.0
56,ml_score_adjusted_monotonic,13647,0.35059730250481697,0.016696928324145002,0.1569430323629067,0.0
57,traditional_saturation_corrected,7279,0.5630414603960396,0.2731062621487063,0.08996161306564274,0.0
57,ml_score_adjusted_monotonic,7279,0.5630414603960396,0.027331326804577637,0.1011195787508375,0.0
58,traditional_saturation_corrected,9977,0.6267353476977197,0.2622852373858209,0.08267562983115044,0.0
58,ml_score_adjusted_monotonic,9977,0.6267353476977197,0.028401884561896646,0.10620859296469695,0.0
59,traditional_saturation_corrected,8024,0.5788904119471899,0.35519828007558796,0.06764235527836002,0.0
59,ml_score_adjusted_monotonic,8024,0.5788904119471899,0.04653093939034259,0.0723959933275039,0.0
60,traditional_saturation_corrected,5292,0.5222540215138656,0.34932034427931125,0.06064929282365524,0.0
60,ml_score_adjusted_monotonic,5292,0.5222540215138656,0.04346403760740092,0.07177342267012946,0.0
61,traditional_saturation_corrected,6103,0.5407105519624347,0.3352168523434,0.06285478760108373,0.0
61,ml_score_adjusted_monotonic,6103,0.5407105519624347,0.04569619895676681,0.07490253745811648,0.0
62,traditional_saturation_corrected,6768,0.5682142557299975,0.356614505677917,0.06031472460276088,0.0
62,ml_score_adjusted_monotonic,6768,0.5682142557299975,0.045508755818934134,0.07020071641662845,0.0
63,traditional_saturation_corrected,9305,0.6296095811624602,0.33776289342828486,0.0734530735315665,0.0
63,ml_score_adjusted_monotonic,9305,0.6296095811624602,0.03891416868938534,0.08857602615208865,0.0
65,traditional_saturation_corrected,8132,0.6831317204301075,0.3777987646969782,0.06226596196268729,0.0
65,ml_score_adjusted_monotonic,8132,0.6831317204301075,0.03743467342985707,0.07997869009836078,0.0
