method,predicted_high_minus_low_secondary_fraction,observed_high_minus_low_secondary_fraction,delta_error,ci_low,ci_high,n_high_runs,n_low_runs
cnn_tail_knockout_surrogate,-0.034985387961159214,-0.033230453504257754,-0.0017549344569014608,-0.04159704257942093,-0.028873297765692422,12,2
control_gated_cnn_gbt_ensemble,-0.018603430025579043,-0.033230453504257754,0.01462702347867871,-0.025452006132768195,-0.011461738379729032,12,2
gradient_boosted_trees_tail_surrogate,-0.0074641654780635835,-0.033230453504257754,0.02576628802619417,-0.011657799355212066,-0.0031645851129936584,12,2
mlp_tail_surrogate,0.008230352928923074,-0.033230453504257754,0.04146080643318083,-0.013639421149379908,0.030042358168913333,12,2
ridge_tail_surrogate,-0.004245726287136514,-0.033230453504257754,0.02898472721712124,-0.016626559912214275,0.008121889019766172,12,2
sentinel_amplitude_only_ridge,-0.008201925371413787,-0.033230453504257754,0.025028528132843966,-0.012914148300029727,-0.0036615038782931396,12,2
sentinel_run_only_ridge,-0.00011107844231547648,-0.033230453504257754,0.03311937506194228,-0.0007584767555564511,0.0005932998705961756,12,2
sentinel_shuffled_current_ridge,-0.011620122437538821,-0.033230453504257754,0.021610331066718932,-0.019112489007580887,-0.004329533190141655,12,2
sentinel_shuffled_live10_ridge,-0.0042682439607129585,-0.033230453504257754,0.028962209543544795,-0.009502901619277287,0.0010386470464631382,12,2
traditional_empirical_template,-0.004268243809717603,-0.033230453504257754,0.02896220969454015,-0.009523159237770931,0.0012060527440329013,12,2
