comparison,method,control,n_runs,mean_delta_sigma68_ns,run_bootstrap_ci_low,run_bootstrap_ci_high,leave_one_run_min,leave_one_run_max
gradient_boosted_trees_real_stave_minus_gradient_boosted_trees_heldout_label_permutation,gradient_boosted_trees_real_stave,gradient_boosted_trees_heldout_label_permutation,7,-1.3980826486001592,-1.5851463156944765,-1.231971161369487,-1.4529172585103656,-1.320427386088018
label_offset_real_stave_minus_label_offset_heldout_label_permutation,label_offset_real_stave,label_offset_heldout_label_permutation,7,-1.3436104194045357,-1.5429805670850603,-1.1670210159355259,-1.4113732816014155,-1.257811864631889
ridge_real_stave_minus_ridge_heldout_label_permutation,ridge_real_stave,ridge_heldout_label_permutation,7,-1.2177923436405074,-1.3927115376546204,-1.0724569912657318,-1.2595862689349488,-1.1385416832615398
mlp_real_stave_minus_mlp_heldout_label_permutation,mlp_real_stave,mlp_heldout_label_permutation,7,-1.177919935949718,-1.41874153675866,-0.9813197935525394,-1.2520986552794688,-1.0778569185906297
gated_label_fusion_real_stave_minus_gated_label_fusion_heldout_label_permutation,gated_label_fusion_real_stave,gated_label_fusion_heldout_label_permutation,7,-1.1293149146071884,-1.4337651175725494,-0.753814652696642,-1.2815037640753275,-1.0462139238809591
cnn_real_stave_minus_cnn_heldout_label_permutation,cnn_real_stave,cnn_heldout_label_permutation,7,-1.101944803770622,-1.3650879914575798,-0.8611905130653232,-1.1866123017023906,-0.9921563596581872
mlp_real_stave_minus_mlp_no_stave,mlp_real_stave,mlp_no_stave,7,-0.4437801872941383,-0.6189986391733572,-0.3058875881268809,-0.47593226537595107,-0.36619740218621927
cnn_real_stave_minus_cnn_train_label_permutation,cnn_real_stave,cnn_train_label_permutation,7,-0.4343264272598996,-0.6248539846662371,-0.30028592484689914,-0.47085244079294514,-0.34536013991323083
ridge_real_stave_minus_ridge_no_stave,ridge_real_stave,ridge_no_stave,7,-0.43040908975929365,-0.6001236367564713,-0.30130544111802027,-0.45958942551085274,-0.3538123582177312
ridge_real_stave_minus_ridge_train_label_permutation,ridge_real_stave,ridge_train_label_permutation,7,-0.42807156923451417,-0.6023761698636021,-0.2972066052215177,-0.4573535061771224,-0.3512914532054423
gated_label_fusion_real_stave_minus_gated_label_fusion_no_stave,gated_label_fusion_real_stave,gated_label_fusion_no_stave,7,-0.3943139520829408,-0.5669750318888548,-0.26213168890696453,-0.4315344503821474,-0.3170121303069154
mlp_real_stave_minus_mlp_train_label_permutation,mlp_real_stave,mlp_train_label_permutation,7,-0.38602668708995935,-0.5422650946763787,-0.2398009556699669,-0.4343988282389026,-0.3314624329282396
cnn_real_stave_minus_cnn_no_stave,cnn_real_stave,cnn_no_stave,7,-0.37219637441577624,-0.5849887290822687,-0.20783363586355177,-0.41240210080382883,-0.2765511233722077
gradient_boosted_trees_real_stave_minus_gradient_boosted_trees_no_stave,gradient_boosted_trees_real_stave,gradient_boosted_trees_no_stave,7,-0.3675814477564062,-0.5363667796409651,-0.23394302602298517,-0.40869807661392715,-0.297172041960255
gradient_boosted_trees_real_stave_minus_gradient_boosted_trees_train_label_permutation,gradient_boosted_trees_real_stave,gradient_boosted_trees_train_label_permutation,7,-0.3607435872666437,-0.5117835778303863,-0.23506780272476563,-0.4001967025836049,-0.30080489020478274
gated_label_fusion_real_stave_minus_gated_label_fusion_train_label_permutation,gated_label_fusion_real_stave,gated_label_fusion_train_label_permutation,7,-0.3358674406962449,-0.5242064855801476,-0.17135751315755549,-0.38462301348030303,-0.2603060958819064
label_offset_real_stave_minus_label_offset_train_label_permutation,label_offset_real_stave,label_offset_train_label_permutation,7,-0.2449143311233342,-0.4700627882438763,-0.10070370639757478,-0.2855192020166943,-0.13887100251270226
