path,sha256,bytes
configs/p10f_1781025208_1030_73ae38c0_claim_linter.json,357ff3b72129df6d0a407e5b5f5705002082122452540300aa144013c2da0990,1216
reports/1780917628.449525.085b2dc0__s01b_s00_selected_table_manifest/REPORT.md,3d7debbd2bb3e44f0488a50058f859c192c07e84501e29fa711a6a300133334e,7885
reports/1780917628.449525.085b2dc0__s01b_s00_selected_table_manifest/result.json,02693ffe5979f6d3e5433f2ca4b1468d6f692f470cd66332a72bda5d91d68577,1388
reports/1780997954.15037.36463764__s01_full_dataset_templates/REPORT.md,5179dfd5c6583ea0f94736108f26b0f8d237705130286062b27527a34891e754,6782
reports/1780997954.15037.36463764__s01_full_dataset_templates/result.json,35b25b6bd18d98e382f9766c7e946c30ab4031a9cb1c211a6f8cbd48aae45b3c,1426
reports/1780997954.15097.28a25ecb__s00a_sorted_hrdmax_semantics/REPORT.md,78da0c9166701883d0bae2cea7c05d34536f9c88e2869ac24b47ebb331f41343,7427
reports/1780997954.15097.28a25ecb__s00a_sorted_hrdmax_semantics/result.json,0b0fa206f48192ddcea9242341c40ee337e411bd69dd799196697106b28085db,1177
reports/1780997954.15157.07ef03cf__s02_timing_pickoff/REPORT.md,25caa2cdab7709824e8f96754ba4247947440a0707a755996dcfed618de08a55,8479
reports/1780997954.15157.07ef03cf__s02_timing_pickoff/result.json,7cdb03ee8e4fd732f65cf0dffce01f5551a4f7f7bf4e125b0b60ba7993f9b3f3,1331
reports/1780997954.15217.702122ea__s07_ml_rigour_scoreboard/REPORT.md,7ed66eb090291a22c063881893f240e75c444e685b51843013a7ec57b9143292,8090
reports/1780997954.15217.702122ea__s07_ml_rigour_scoreboard/result.json,1225caeac714a461bf011ade0d100c5ab2920e636b5701f1362081eac8330507,2586
reports/1780997954.15277.548b01a3__s10_pileup_rate_model/REPORT.md,15c0355aba456fa50fae2d0675e5ef1682b7bbc2b4623e3bb9418f9703e749b3,8051
reports/1780997954.15277.548b01a3__s10_pileup_rate_model/result.json,b11863d825db3e06ee46f3f1cbd642a026ccecbf46ddc08b42806546f9b07224,2833
reports/1780997954.15337.77205a71__s16_pedestal_baseline_validation/REPORT.md,be4a72ce8a6bbf3d62425dbb1acbe01dc7fed361c1863db2d5b03bd6458fdb23,7771
reports/1780997954.15337.77205a71__s16_pedestal_baseline_validation/result.json,07fd9db8744a34b7be71ed1a865ad7eab42742785f1be18d55e43ff10ec354aa,1398
reports/1780997954.15397.168324f2__s18_astack_independent_reproduction/REPORT.md,571d615eb72e6fd318e26f4a362ef13f07f1945e2c87c05c2b76c78479b43a90,13530
reports/1780997954.15397.168324f2__s18_astack_independent_reproduction/result.json,ae0b574319d201a580df6f620811f3dc1b531a4746c306b8a624b84def9de414,1751
reports/1780997954.15517.0cbc248c__p01_self_supervised_waveform_representation/REPORT.md,01f09ed5440d5f62bd71d9c7f43663a3eb9f29f0d9a18a18d677df2dead7565d,2681
reports/1780997954.15517.0cbc248c__p01_self_supervised_waveform_representation/result.json,f2851e19d172c3c20ce2edde60c1ce38bee77f67b1911c4ae1399cde63dd850d,3923
reports/1780997954.15577.6c203777/REPORT.md,22877ddda903cc186bebfbda81a5194b7790baf5266104df7c5970595e9041e2,6453
reports/1780997954.15577.6c203777/result.json,960d42d91bce5f0cbf269627700c41903b78d76f2ea5914c032116484d6dd957,5792
reports/1781000612.495978.66c00082__p10a_conditional_template/REPORT.md,517894dcffee34005dcb6119ec0373c3dd66dfc12920911fa3605c9add2f3e62,3641
reports/1781000612.495978.66c00082__p10a_conditional_template/result.json,70c4cf00d7f5468f1c8c82ab655af6cb3e4c44dc714e1eb52423b08d479d6da1,2175
reports/1781000705.514762.105c186b__s02b_template_timewalk_closure/REPORT.md,7d7ee079813758647cb065155c1d918dbd1a45a57d5dda27fb0bf444da7fe92e,5025
reports/1781000705.514762.105c186b__s02b_template_timewalk_closure/result.json,fc823aff7cf7c5dbfb7593c0a25cb5492bfd94168bd51e2797975d1a54c7d1aa,1860
reports/1781000705.514827.50025402__s03a_analytic_timewalk_correction/REPORT.md,1bbc887b5928ecd848acdc3cc7e58f687d41510f081ce083dc9df304634d0ec0,5425
reports/1781000705.514827.50025402__s03a_analytic_timewalk_correction/result.json,65d1f30ae64d4f27140979ff34da341c0971c1622ac14b842c73f8907dd77102,1768
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/REPORT.md,06da299288adde64a8241cbb441d3513c1efa4166cb5c6d1360e5bba2da77ed5,7238
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/result.json,452f6dc4b6a16f2626478e698471857d4173c37e61c2af16037cff3e914231f8,1779
reports/1781000790.531136.203130b0__s07c_clean_timing_rf/REPORT.md,2a25b202535296aa8ae3f728cee229f6012188caeec13f6033159859914bfe89,7190
reports/1781000790.531136.203130b0__s07c_clean_timing_rf/result.json,73fbc7898e7ce5c99c0422f4a572c4077a15ff16c4f389a13bbc7f2557172ccb,3479
reports/1781000826.539603.1a5d04dd/REPORT.md,5af7afe8981adf11e3bebe94db3f01c790e8832fa16ad8ea7f1a5e7a5bd5fe73,7064
reports/1781000826.539603.1a5d04dd/result.json,95ed466198c819e54a395aa9325fd01752a76203e79c17912cae39813905a975,2829
reports/1781000826.539659.030b7796__s16b_independent_pedestal_estimator_closure/REPORT.md,604c37f3cf22b20197f5723547c653017ce18e01fa1ce5f8c81d3fd0e7991c62,6220
reports/1781000826.539659.030b7796__s16b_independent_pedestal_estimator_closure/result.json,f7ae541448984d9d0b3a4f0153f54aef052312cadcb6e80520d0faa3dc556fdb,1802
reports/1781000867.546870.5c124aaf/REPORT.md,e9571ef279bfc72481624149f27278fc797f9b18106d11f352e519a691ef419e,2607
reports/1781000867.546870.5c124aaf/result.json,16c13a49d48904f9cc54363f548d9d5c9a16d92187602ac0368c697559d8882e,3552
reports/1781000867.546938.20f0173c/REPORT.md,f37a60e8077bf95c082db5327106e0784461ef0aba97cbf90b84288e86e2e2a8,5053
reports/1781000867.546938.20f0173c/result.json,f5204017e01a14a89d6a665d7a3656762e34f509bdbc31a7bab08ba94d5fcc81,4397
reports/1781001221.625922.5a564a7e__s16b_forced_trigger_pedestal_validation/REPORT.md,327e55a91e1a4ad00b9e1d3d5f2731b726f2f1d65aac598d1f05215847b0632d,4472
reports/1781001221.625922.5a564a7e__s16b_forced_trigger_pedestal_validation/result.json,26cad0d92ba6085431922c91727bc21d7290154e4b5563caf4a827a0725a5193,3704
reports/1781001221.625989.53423f03__s16c_pedestal_timing_nuisance/REPORT.md,6172f20a32e5f3f4a36b8936bad136bd29627833250d888ed9a257302bebbf07,3985
reports/1781001221.625989.53423f03__s16c_pedestal_timing_nuisance/result.json,ab7dce394606f3cb32d4118924a8f5bcd0f8f30759c1bd8c9c4eaee8eba2c794,3250
reports/1781001480.695946.490c69d3/REPORT.md,97e93de922489d50fba58a71351045eda1d9aa7f144828054357b663b3cea1af,6458
reports/1781001480.695946.490c69d3/result.json,e66181cee50ba34c2d874fab3a49af6a71134e14496025b26fa4909b8a68d854,1403
reports/1781001480.696013.4ac50583__s05a_astack_external_control/REPORT.md,8304d7f95d724a6ca49b0959aae6983549ea0339671eff58d09ba634bba72b2f,12714
reports/1781001480.696013.4ac50583__s05a_astack_external_control/result.json,cf43231e3921dce98e87d67e38a0eaf56bca7390d1952bfefb8bad29722904b6,2195
reports/1781004956.538.5fc10cd7/REPORT.md,e89ddfe4b086c70fb80d57d585787ead0d2b5a2cb14af337081403be6319faa3,3642
reports/1781004956.538.5fc10cd7/result.json,05d963f20dda44b9502675639570333d49b9be154c9a6a5ba06bfad4730d8f10,7203
reports/1781004956.603.7dce65be__p03a_18_sample_mlp_timing/REPORT.md,67c3d31d4ca5f76b95b7d6a5023f389265ea3ee73273b150799c0b5626059490,7109
reports/1781004956.603.7dce65be__p03a_18_sample_mlp_timing/result.json,6735106b62dac5a97f62c01142b8ebf3bb4345e662455940780ee0e45b353e9f,2055
