ticket_id,study,path,title,in_scope,win_evidence,claimed_qspace_template_win,promoted_claim,all_controls_present,all_controls_clean,linter_fail,fail_reasons,has_mean_template,has_shuffled_target,has_train_eval_run_overlap,has_train_eval_key_overlap,has_no_run_event_features,clean_mean_template,clean_shuffled_target,clean_train_eval_run_overlap,clean_train_eval_key_overlap,clean_no_run_event_features,document_token_count
1780917628.449525.085b2dc0,S01b,reports/1780917628.449525.085b2dc0__s01b_s00_selected_table_manifest/result.json,Persist the S00 selected-pulse table manifest and regeneration hook,False,ml_value_below_traditional,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,932
1780997954.15037.36463764,S01,reports/1780997954.15037.36463764__s01_full_dataset_templates/result.json,Full-dataset amplitude-adaptive template and q_template,False,ml_value_below_traditional;top_level_ml_beats_flag,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,820
1780997954.15097.28a25ecb,S00a,reports/1780997954.15097.28a25ecb__s00a_sorted_hrdmax_semantics/result.json,Reconcile sorted hrdMax vs raw HRDv selection semantics,False,ml_value_below_traditional,True,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,939
1780997954.15157.07ef03cf,S02,reports/1780997954.15157.07ef03cf__s02_timing_pickoff/result.json,timing pickoff - CFD vs OF vs template,False,ml_value_below_traditional;top_level_ml_beats_flag,True,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,1017
1780997954.15217.702122ea,S07,reports/1780997954.15217.702122ea__s07_ml_rigour_scoreboard/result.json,ML rigour pass: current/topology proxy calibration scoreboard,False,top_level_ml_beats_flag,True,True,False,False,False,,False,False,False,False,True,False,False,False,False,True,1022
1780997954.15277.548b01a3,S10,reports/1780997954.15277.548b01a3__s10_pileup_rate_model/result.json,Pile-up rate model and current-dependent excess,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,1012
1780997954.15337.77205a71,S16,reports/1780997954.15337.77205a71__s16_pedestal_baseline_validation/result.json,Pedestal/baseline validation,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,980
1780997954.15397.168324f2,S18,reports/1780997954.15397.168324f2__s18_astack_independent_reproduction/result.json,A-stack independent reproduction (Sample III/IV),False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,883
1780997954.15517.0cbc248c,P01,reports/1780997954.15517.0cbc248c__p01_self_supervised_waveform_representation/result.json,self-supervised waveform representation,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,431
1780997954.15577.6c203777,P04,reports/1780997954.15577.6c203777/result.json,"On independent odd-readout closure, ML amplitude res68 is 0.0091 versus the best traditional amplitude baseline at 0.1238; charge res68 is 0.0151 versus 0.1954. The duplicate readout is already very strongly predicted by",False,,False,False,False,False,False,,False,True,True,False,False,False,True,True,False,False,622
1781000612.495978.66c00082,P10a,reports/1781000612.495978.66c00082__p10a_conditional_template/result.json,conditional generative template vs empirical amplitude-bin template,True,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,496
1781000705.514762.105c186b,S02b,reports/1781000705.514762.105c186b__s02b_template_timewalk_closure/result.json,template alignment with amplitude-binned templates and timewalk closure,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,407
1781000705.514827.50025402,S03a,reports/1781000705.514827.50025402__s03a_analytic_timewalk_correction/result.json,run-held-out analytic timewalk correction using S02 best pickoff,False,ml_value_below_traditional,True,True,False,False,False,,False,True,False,False,False,False,True,False,False,False,414
1781000790.531071.5a66741c,S07b,reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/result.json,timing-control classifier calibration with D_t labels,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,710
