method,target_stave,n_residuals,n_runs,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,median_bias_ns,median_bias_ci_low_ns,median_bias_ci_high_ns,full_rms_ns,tail_frac_abs_gt5ns,mean_b2_weight_share
equal_twoend_projection,B4,12089,21,2.3248714372841874,1.8425764941951879,8.020435856208543,-4.1478181137499135,-4.365087531407212,-3.7624861252223005,10.649932422474624,0.14045826784680288,0.43658146524388153
equal_twoend_projection,B6,12190,21,2.530080516669078,2.0860020824240237,7.878462149288288,-2.8902525997150867,-3.0738943075682745,-2.4998430834960192,11.281220203710028,0.15840853158326498,0.4371069182389887
equal_twoend_projection,B8,4695,21,2.2792296658950533,1.8928075842709222,6.993083968511895,-2.6712105472133345,-2.7962046953459496,-2.2247798819124616,10.228228372975215,0.14589989350372737,0.33670571529994864
ml_dynamic_twoend_prior,B4,12089,21,1.9997828427842996,1.867522767425153,2.3802873029733957,-1.3955090299077355,-1.6153997332057564,-1.0484457637109137,6.5603926933057695,0.05567044420547605,0.10430492295183869
ml_dynamic_twoend_prior,B6,12190,21,1.8737371505955256,1.731703968493142,2.358686572605883,-0.012255729247808489,-0.25966636574233315,0.28937169745435326,6.08462153546521,0.06447908121410993,0.10848456192220914
ml_dynamic_twoend_prior,B8,4695,21,1.725844106067165,1.6215484337398207,2.0506887936991607,-0.446993748119894,-0.5850049223969691,-0.08721154640861635,6.9832427114429425,0.037486687965921195,0.06805724000207719
robust_nnls_twoend_prior,B4,12089,21,1.823940997696336,1.783878432212985,1.8661456714189204,-0.8580175887900765,-1.0425350324533706,-0.6013994114415674,6.635831271550114,0.0194391595665481,0.005934755375326506
robust_nnls_twoend_prior,B6,12190,21,1.981925626394358,1.8999780181671369,2.343544153722581,0.7945147024235446,0.6079401880161333,1.048238868029023,6.259654314208042,0.04150943396226415,0.029826358248651524
robust_nnls_twoend_prior,B8,4695,21,1.460185767833075,1.3677858320291505,1.5039227882964794,-0.18313616722331716,-0.34404038704219203,-0.023216341515408658,6.801625190479188,0.017678381256656016,0.00378152972551743
s05c_covariance_twoend_prior,B4,12089,21,2.0845887125329616,1.904368971769969,3.130720092622052,-1.6674266199322858,-1.8644517499775475,-1.2653904259141096,6.7997842916916955,0.0834643063942427,0.14418951748443767
s05c_covariance_twoend_prior,B6,12190,21,2.033474146251153,1.8074712479217792,3.457901816278918,-0.26223475713308986,-0.4690067528025795,0.04941054095787472,6.626883650168592,0.09622641509433963,0.14254699387659528
s05c_covariance_twoend_prior,B8,4695,21,1.881273738871942,1.707361537803144,2.7502982103760756,-0.6322048696443403,-0.7699193720459974,-0.2530812556779197,7.285002752825308,0.07071352502662406,0.09452055546223209
equal_twoend_projection,all_downstream,28974,21,2.519911964598703,2.084091366740503,7.961431631171809,-3.3897041411257707,-3.508891783165937,-3.037024120171354,10.879834005711635,0.1471664250707531,0.42061848553881576
ml_dynamic_twoend_prior,all_downstream,28974,21,2.0210225925687655,1.863575850384788,2.5387290439728907,-0.6210206197954626,-0.7305477558176869,-0.2895121922834984,6.491824228942653,0.05712017671015393,0.10018974822966308
robust_nnls_twoend_prior,all_downstream,28974,21,1.99485822096507,1.8856381028250235,2.1265237766757985,-0.07319637070756713,-0.1524608049109897,0.013538990704116126,6.5818928961191165,0.03151100987091875,0.01563756632997098
s05c_covariance_twoend_prior,all_downstream,28974,21,2.1472504329314255,1.9450041250936783,3.571214475365783,-0.8702800450824597,-0.9743476102135906,-0.5197230810236164,6.859536540501273,0.08576654932008007,0.13545002209294424
