sample,a_topology,b2_bin_global,n_depths,n,adjacent_depth_steps,adjacent_observed_a_charge_violations,median_a_charge_by_depth
sample_iii_analysis,A1,4,2,22,1,0,"{""0"": 11731.0, ""1"": 14661.0}"
sample_iii_analysis,A1+A3,0,4,101,3,1,"{""0"": 33138.5, ""1"": 44266.0, ""2"": 28655.0, ""3"": 44388.0}"
sample_iii_analysis,A1+A3,1,3,90,2,1,"{""0"": 33023.0, ""1"": 35058.0, ""2"": 31442.0}"
sample_iii_analysis,A1+A3,2,2,111,1,0,"{""0"": 31754.0, ""1"": 33554.5}"
sample_iii_analysis,A1+A3,3,4,96,3,1,"{""0"": 33961.0, ""1"": 27087.0, ""2"": 33582.0, ""3"": 38017.5}"
sample_iii_analysis,A1+A3,4,3,90,2,0,"{""0"": 32684.5, ""1"": 33752.0, ""2"": 34316.0}"
sample_iii_analysis,A3,0,4,173,3,1,"{""0"": 16584.5, ""1"": 5398.0, ""2"": 13477.0, ""3"": 29845.0}"
sample_iii_analysis,A3,1,4,174,3,1,"{""0"": 14486.0, ""1"": 16803.5, ""2"": 9266.0, ""3"": 9723.0}"
sample_iii_analysis,A3,2,3,167,2,2,"{""0"": 14905.5, ""1"": 13426.0, ""2"": 12793.5}"
sample_iii_analysis,A3,3,3,180,2,1,"{""0"": 14505.0, ""1"": 12424.0, ""2"": 19428.5}"
sample_iii_analysis,A3,4,3,206,2,1,"{""0"": 15186.0, ""1"": 15290.0, ""2"": 12467.0}"
sample_iii_calibration,A1,1,2,12,1,1,"{""0"": 11976.0, ""1"": 9544.0}"
sample_iii_calibration,A1,2,2,7,1,1,"{""0"": 10780.0, ""2"": 4242.0}"
sample_iii_calibration,A1,4,2,18,1,0,"{""0"": 11097.5, ""2"": 14097.0}"
sample_iii_calibration,A1+A3,0,3,177,2,2,"{""0"": 30332.0, ""1"": 24461.0, ""2"": 23063.5}"
sample_iii_calibration,A1+A3,1,4,157,3,2,"{""0"": 32478.0, ""1"": 29395.5, ""2"": 37871.0, ""3"": 31206.0}"
sample_iii_calibration,A1+A3,2,2,158,1,0,"{""0"": 32262.5, ""1"": 36174.0}"
sample_iii_calibration,A1+A3,3,3,164,2,1,"{""0"": 30211.0, ""1"": 30339.5, ""3"": 29735.0}"
sample_iii_calibration,A1+A3,4,3,178,2,1,"{""0"": 33218.5, ""1"": 40349.0, ""2"": 31597.0}"
sample_iii_calibration,A3,0,3,298,2,1,"{""0"": 15415.0, ""1"": 19286.5, ""2"": 13193.0}"
sample_iii_calibration,A3,1,4,314,3,1,"{""0"": 16322.5, ""1"": 17391.0, ""2"": 15450.75, ""3"": 15855.5}"
sample_iii_calibration,A3,2,3,323,2,1,"{""0"": 14213.0, ""1"": 18847.0, ""2"": 15561.0}"
sample_iii_calibration,A3,3,4,307,3,1,"{""0"": 15329.0, ""1"": 18757.0, ""2"": 11644.0, ""3"": 20887.0}"
sample_iii_calibration,A3,4,3,292,2,1,"{""0"": 15081.0, ""1"": 18639.0, ""2"": 13123.5}"
sample_iv_analysis,A1,0,2,3,1,0,"{""0"": 9556.0, ""3"": 19401.0}"
sample_iv_analysis,A3,0,3,27,2,1,"{""0"": 12888.0, ""1"": 12757.0, ""2"": 19917.0}"
sample_iv_analysis,A3,1,4,37,3,1,"{""0"": 19076.0, ""1"": 21192.0, ""2"": 21908.0, ""3"": 8352.5}"
sample_iv_analysis,A3,2,2,20,1,1,"{""0"": 15608.5, ""2"": 11338.0}"
sample_iv_calibration,A3,0,2,9,1,0,"{""0"": 14929.0, ""1"": 21432.0}"
sample_iv_calibration,A3,2,2,8,1,1,"{""0"": 20790.0, ""1"": 15817.0}"
