stratum,level,method,n,bias_frac,res68_frac,res68_ci95
run,44,old_power_law,1911,-0.03950153703450372,0.6097089554521752,"[0.6097089554521752, 0.6097089554521752]"
run,44,geant4_birks_lookup,1911,-0.01603761833582465,0.04372009722926762,"[0.04372009722926762, 0.04372009722926762]"
run,44,ridge,1911,-0.011824489271075043,0.13722483662740617,"[0.13722483662740617, 0.13722483662740617]"
run,44,gradient_boosted_trees,1911,4.7452386387064954e-05,0.06138270500498052,"[0.06138270500498052, 0.06138270500498052]"
run,44,mlp,1911,0.007842886478105823,0.25532655536501636,"[0.25532655536501636, 0.25532655536501636]"
run,44,1d_cnn,1911,0.003588791187741565,0.1527101991657544,"[0.1527101991657544, 0.1527101991657544]"
run,44,attention_transformer_new,1911,0.014950945244225031,0.13169861063560073,"[0.13169861063560073, 0.13169861063560073]"
run,44,range_gated_residual_mlp_new,1911,0.0020155100508678406,0.0718978717985704,"[0.0718978717985704, 0.0718978717985704]"
run,45,old_power_law,22999,-0.11240711403938562,0.4958233267213173,"[0.4958233267213173, 0.4958233267213173]"
run,45,geant4_birks_lookup,22999,-0.016559483217517806,0.04483075000265197,"[0.04483075000265197, 0.04483075000265197]"
run,45,ridge,22999,-0.0173038921074047,0.12275586158361808,"[0.12275586158361808, 0.12275586158361808]"
run,45,gradient_boosted_trees,22999,-0.00386458022318925,0.06490439045254132,"[0.06490439045254132, 0.06490439045254132]"
run,45,mlp,22999,0.01577213393102187,0.23358003424131651,"[0.23358003424131651, 0.23358003424131651]"
run,45,1d_cnn,22999,0.009175010121172137,0.14072769060692714,"[0.14072769060692714, 0.14072769060692714]"
run,45,attention_transformer_new,22999,0.02144738404443884,0.12538005637424324,"[0.12538005637424324, 0.12538005637424324]"
run,45,range_gated_residual_mlp_new,22999,-0.0008472548734686279,0.07102835576410697,"[0.07102835576410697, 0.07102835576410697]"
run,46,old_power_law,676,-0.06946963497059902,0.47710947897311934,"[0.47710947897311934, 0.47710947897311934]"
run,46,geant4_birks_lookup,676,-0.011277044337228996,0.03442343752688014,"[0.03442343752688014, 0.03442343752688014]"
run,46,ridge,676,-0.057213408371271715,0.10893458597892391,"[0.10893458597892391, 0.10893458597892391]"
run,46,gradient_boosted_trees,676,0.011194174534245808,0.05679034170887049,"[0.05679034170887049, 0.05679034170887049]"
run,46,mlp,676,-0.038584914779227104,0.2425575777830713,"[0.2425575777830713, 0.2425575777830713]"
run,46,1d_cnn,676,-0.04213196978706399,0.15384876805441705,"[0.15384876805441705, 0.15384876805441705]"
run,46,attention_transformer_new,676,-0.025843104351711686,0.10969417291719237,"[0.10969417291719237, 0.10969417291719237]"
run,46,range_gated_residual_mlp_new,676,-0.02298758192015077,0.06670888983397674,"[0.06670888983397674, 0.06670888983397674]"
run,47,old_power_law,5160,-0.12633689092974443,0.47547164955825694,"[0.47547164955825694, 0.47547164955825694]"
run,47,geant4_birks_lookup,5160,-0.012257825296585464,0.03679790856911224,"[0.03679790856911224, 0.03679790856911224]"
run,47,ridge,5160,-0.05587515955347036,0.10634162490923268,"[0.10634162490923268, 0.10634162490923268]"
run,47,gradient_boosted_trees,5160,0.004811656864815911,0.055093343749206714,"[0.055093343749206714, 0.055093343749206714]"
run,47,mlp,5160,-0.03144415527583294,0.23045651908255996,"[0.23045651908255996, 0.23045651908255996]"
run,47,1d_cnn,5160,-0.03917318073005516,0.14073243282924747,"[0.14073243282924747, 0.14073243282924747]"
run,47,attention_transformer_new,5160,-0.02611110970868538,0.10931106302263117,"[0.10931106302263117, 0.10931106302263117]"
run,47,range_gated_residual_mlp_new,5160,-0.026700196248976665,0.06579610668882432,"[0.06579610668882432, 0.06579610668882432]"
run,48,old_power_law,13175,0.051310020861849846,0.6494274912211109,"[0.6494274912211109, 0.6494274912211109]"
run,48,geant4_birks_lookup,13175,-0.014263155213692593,0.04251079070801534,"[0.04251079070801534, 0.04251079070801534]"
run,48,ridge,13175,-0.008158685073130058,0.13865103284405203,"[0.13865103284405203, 0.13865103284405203]"
run,48,gradient_boosted_trees,13175,0.006973536140896013,0.06496389058496048,"[0.06496389058496048, 0.06496389058496048]"
run,48,mlp,13175,0.002280127442507267,0.26171166887866293,"[0.26171166887866293, 0.26171166887866293]"
run,48,1d_cnn,13175,0.0010467184939189531,0.15745829196973138,"[0.15745829196973138, 0.15745829196973138]"
run,48,attention_transformer_new,13175,0.018686822206496947,0.1337919457149152,"[0.1337919457149152, 0.1337919457149152]"
run,48,range_gated_residual_mlp_new,13175,0.003456513935789141,0.07351389020922243,"[0.07351389020922243, 0.07351389020922243]"
run,49,old_power_law,13921,0.019605394312461055,0.6485558117151008,"[0.6485558117151008, 0.6485558117151008]"
run,49,geant4_birks_lookup,13921,-0.01463548078238275,0.04269980869586902,"[0.04269980869586902, 0.04269980869586902]"
run,49,ridge,13921,-0.0101258833808528,0.1370331625803978,"[0.1370331625803978, 0.1370331625803978]"
