pool,check,value,flag
run64_only,single_run_training_pool,True,False
run64_only,forbidden_feature_overlap,,False
sample_iii_only,forbidden_feature_overlap,,False
sample_iii_only,row_split_advantage_rmse_ns,-0.4642082988965788,False
sample_iii_only,group_split_r2_mean,0.04753125629272752,False
sample_iii_only,random_row_split_r2,0.06769997022116381,False
sample_iii_only,shuffled_target_r2,-0.017767717963266927,False
sample_iii_only,train_width_vs_heldout_ml_width_ns,-0.3211470054790282,False
mixed_period,forbidden_feature_overlap,,False
mixed_period,row_split_advantage_rmse_ns,-1.1617234872898687,False
mixed_period,group_split_r2_mean,0.0396693100579024,False
mixed_period,random_row_split_r2,0.032739839067066345,False
mixed_period,shuffled_target_r2,-0.014713471541734968,False
mixed_period,train_width_vs_heldout_ml_width_ns,-0.30211319074653575,False
sample_iv_leave_one,forbidden_feature_overlap,,False
sample_iv_leave_one,row_split_advantage_rmse_ns,-0.09298365240646156,False
sample_iv_leave_one,group_split_r2_mean,0.2119451401254518,False
sample_iv_leave_one,random_row_split_r2,0.06754798043065535,False
sample_iv_leave_one,shuffled_target_r2,-0.19036583576443378,False
sample_iv_leave_one,train_width_vs_heldout_ml_width_ns,0.22003604546944766,False
