pool,method,run,n_pairs,robust_width_ns,full_rms_ns
fixed_adc_cut1000,constrained_monotone_timewalk,58,25,1.0760187025964294,1.2834413329927996
fixed_adc_cut1000,constrained_monotone_timewalk,59,11,1.000398474643978,1.1970159211684868
fixed_adc_cut1000,constrained_monotone_timewalk,60,11,0.9702199490985202,1.1629100886902515
fixed_adc_cut1000,constrained_monotone_timewalk,61,18,1.6591342757554395,1.8017501123333235
fixed_adc_cut1000,constrained_monotone_timewalk,62,7,0.9904105716088881,1.5664861425966525
fixed_adc_cut1000,constrained_monotone_timewalk,63,28,1.333362147970506,1.3891231727124358
fixed_adc_cut1000,constrained_monotone_timewalk,65,27,1.5737929904739256,1.6205563204471265
fixed_adc_cut1000,ridge,58,25,0.9176595408114281,2.283676099171122
fixed_adc_cut1000,ridge,59,11,2.7636412993041346,2.6413440658597778
fixed_adc_cut1000,ridge,60,11,1.2701082871740637,1.4380513781045374
fixed_adc_cut1000,ridge,61,18,1.9114635567161646,2.220100202810205
fixed_adc_cut1000,ridge,62,7,3.5517840603956836,4.4524207775194755
fixed_adc_cut1000,ridge,63,28,1.160919031932608,1.6136678046908923
fixed_adc_cut1000,ridge,65,27,1.25042690359904,2.032327156180605
fixed_adc_cut1000,gradient_boosted_trees,58,25,0.6838268925328559,1.1433449903874784
fixed_adc_cut1000,gradient_boosted_trees,59,11,1.3001457362605866,1.5772691947981656
fixed_adc_cut1000,gradient_boosted_trees,60,11,0.8141793730972513,0.9793271192833183
fixed_adc_cut1000,gradient_boosted_trees,61,18,1.6586147417904051,1.7330697207859334
fixed_adc_cut1000,gradient_boosted_trees,62,7,1.3411435385996602,2.518296547611835
fixed_adc_cut1000,gradient_boosted_trees,63,28,0.580618524993326,1.3728418975224408
fixed_adc_cut1000,gradient_boosted_trees,65,27,0.6675158148191926,0.998890203495462
fixed_adc_cut1000,mlp,58,25,1.1336908613567505,1.229031807437089
fixed_adc_cut1000,mlp,59,11,2.4271546061689007,3.392748329830087
fixed_adc_cut1000,mlp,60,11,0.9114070314117074,0.9534366279475998
fixed_adc_cut1000,mlp,61,18,1.7584563126262327,1.8858536897417935
fixed_adc_cut1000,mlp,62,7,1.2802591955753468,3.6120860757440085
fixed_adc_cut1000,mlp,63,28,1.5765722593970932,2.1909030069081465
fixed_adc_cut1000,mlp,65,27,1.8482484710741356,2.9852596708105095
fixed_adc_cut1000,cnn_1d,58,25,1.2051535959009854,1.641620999105869
fixed_adc_cut1000,cnn_1d,59,11,1.8822725992844598,2.0032311626810326
fixed_adc_cut1000,cnn_1d,60,11,1.0221101465236122,1.543950402513906
fixed_adc_cut1000,cnn_1d,61,18,2.1010154414256133,2.0196287962617823
fixed_adc_cut1000,cnn_1d,62,7,2.651720549175468,2.6004099284569855
