geometry,method,veto_family,family_population,family_accepted,family_acceptance,charge_proxy_log_shift,energy_proxy_res68,depth_order_violation_rate
center_4cm,traditional_veto_ladder,accepted,167648,167648,1.0,0.0,0.006889915590589126,0.031746031746031744
center_4cm,traditional_veto_ladder,p09_anomaly,44709,0,0.0,,,
center_4cm,traditional_veto_ladder,s10_pileup,40823,0,0.0,,,
center_4cm,traditional_veto_ladder,s16_baseline_lowering,21750,0,0.0,,,
center_4cm,traditional_veto_ladder,p07_saturation,102343,0,0.0,,,
center_4cm,ridge_support,accepted,167648,148370,0.8850090666157664,-0.01871888424124002,0.006390502792672131,0.031746031746031744
center_4cm,ridge_support,p09_anomaly,44709,8049,0.18003086626853654,0.5123020529468096,0.008498705141046746,0.1
center_4cm,ridge_support,s10_pileup,40823,7834,0.19190162408446218,0.6074770109128789,0.008390361224739084,0.0
center_4cm,ridge_support,s16_baseline_lowering,21750,2,9.195402298850575e-05,1.484337738918418,0.07178096579784732,
center_4cm,ridge_support,p07_saturation,102343,4076,0.03982685674643112,-0.0762284387828771,0.009676769650864614,
center_4cm,gradient_boosted_trees,accepted,167648,166101,0.9907723325062034,0.003170831035584243,0.006818913875565436,0.031746031746031744
center_4cm,gradient_boosted_trees,p09_anomaly,44709,409,0.009148046254669083,0.1542127585574331,0.008112613924081184,0.0
center_4cm,gradient_boosted_trees,s10_pileup,40823,316,0.007740734389927247,0.5989982723160487,0.008649455304587762,0.0
center_4cm,gradient_boosted_trees,s16_baseline_lowering,21750,150,0.006896551724137931,0.9944760250608091,0.10882303095328713,0.0
center_4cm,gradient_boosted_trees,p07_saturation,102343,500,0.0048855319855779095,-0.08996117354794286,0.00940621248133958,0.0
center_4cm,mlp_support,accepted,167648,156807,0.9353347489979004,0.016926206104070474,0.00655926348854484,0.034482758620689655
center_4cm,mlp_support,p09_anomaly,44709,1884,0.04213916661074951,0.20869909439111112,0.0074914400302861315,0.05128205128205128
center_4cm,mlp_support,s10_pileup,40823,3952,0.09680817186390026,0.6541866802119376,0.008439730830873505,0.0
center_4cm,mlp_support,s16_baseline_lowering,21750,157,0.007218390804597701,1.466739524974436,0.05119442043238452,
center_4cm,mlp_support,p07_saturation,102343,2703,0.02641118591403418,-0.08537947692740211,0.009493272005523004,0.0
center_4cm,cnn_1d_support,accepted,167648,146339,0.872894397785837,-0.03920937084818377,0.00646839203426229,0.031746031746031744
center_4cm,cnn_1d_support,p09_anomaly,44709,8811,0.19707441454740657,0.5511706869225534,0.008744913745609928,0.14814814814814814
center_4cm,cnn_1d_support,s10_pileup,40823,10681,0.2616417215785219,0.5654087652911315,0.008041868732776791,0.0
center_4cm,cnn_1d_support,s16_baseline_lowering,21750,367,0.016873563218390803,1.5622674021732212,0.08557277648618569,0.0
center_4cm,cnn_1d_support,p07_saturation,102343,3627,0.035439649023382154,-0.07825291725107775,0.010311691663732407,
center_4cm,new_residual_gated_ensemble,accepted,167648,160714,0.9586395304447414,0.012581440473150352,0.006582068864608068,0.031746031746031744
center_4cm,new_residual_gated_ensemble,p09_anomaly,44709,4132,0.09241987071954193,0.5645366849137972,0.008520459963225466,0.13513513513513514
center_4cm,new_residual_gated_ensemble,s10_pileup,40823,3177,0.07782377581265464,0.5473873824590747,0.007702030297490587,0.037037037037037035
center_4cm,new_residual_gated_ensemble,s16_baseline_lowering,21750,54,0.0024827586206896553,1.5029273031700932,0.10007990933036008,0.0
center_4cm,new_residual_gated_ensemble,p07_saturation,102343,406,0.003967051972289262,-0.07847066736503017,0.010551530079626037,
center_4cm,shuffled_target_hgb_control,accepted,167648,86842,0.5180020041992747,-0.10164649400459957,0.006482705288065383,0.016129032258064516
center_4cm,shuffled_target_hgb_control,p09_anomaly,44709,19593,0.4382339126350399,-0.062163495397253854,0.02724480943447874,0.016666666666666666
center_4cm,shuffled_target_hgb_control,s10_pileup,40823,21576,0.5285255860666781,-0.07917758259906904,0.019549119251308873,0.0
center_4cm,shuffled_target_hgb_control,s16_baseline_lowering,21750,14857,0.6830804597701149,-0.0367103647700624,0.39801559999833347,0.18867924528301888
center_4cm,shuffled_target_hgb_control,p07_saturation,102343,64760,0.6327741027720508,0.0041266489787776806,0.011581707260536138,0.0
center_2cm,traditional_veto_ladder,accepted,167648,167648,1.0,0.0,0.006889915590589126,0.031746031746031744
center_2cm,traditional_veto_ladder,p09_anomaly,44709,0,0.0,,,
center_2cm,traditional_veto_ladder,s10_pileup,40823,0,0.0,,,
center_2cm,traditional_veto_ladder,s16_baseline_lowering,21750,0,0.0,,,
center_2cm,traditional_veto_ladder,p07_saturation,102343,0,0.0,,,
center_2cm,ridge_support,accepted,167648,148370,0.8850090666157664,-0.01871888424124002,0.006390502792672131,0.031746031746031744
center_2cm,ridge_support,p09_anomaly,44709,8049,0.18003086626853654,0.5123020529468096,0.008498705141046746,0.1
