method,truth_label,pred_label,count
1d_cnn,rise_curvature,rise_curvature,1567
1d_cnn,rise_curvature,late_tail,0
1d_cnn,rise_curvature,undershoot,78
1d_cnn,rise_curvature,width_change,137
1d_cnn,late_tail,rise_curvature,33
1d_cnn,late_tail,late_tail,744
1d_cnn,late_tail,undershoot,2
1d_cnn,late_tail,width_change,0
1d_cnn,undershoot,rise_curvature,678
1d_cnn,undershoot,late_tail,26
1d_cnn,undershoot,undershoot,647
1d_cnn,undershoot,width_change,14
1d_cnn,width_change,rise_curvature,799
1d_cnn,width_change,late_tail,62
1d_cnn,width_change,undershoot,86
1d_cnn,width_change,width_change,593
compact_transformer,rise_curvature,rise_curvature,1779
compact_transformer,rise_curvature,late_tail,0
compact_transformer,rise_curvature,undershoot,3
compact_transformer,rise_curvature,width_change,0
compact_transformer,late_tail,rise_curvature,33
compact_transformer,late_tail,late_tail,746
compact_transformer,late_tail,undershoot,0
compact_transformer,late_tail,width_change,0
compact_transformer,undershoot,rise_curvature,951
compact_transformer,undershoot,late_tail,209
compact_transformer,undershoot,undershoot,115
compact_transformer,undershoot,width_change,90
compact_transformer,width_change,rise_curvature,1441
compact_transformer,width_change,late_tail,69
compact_transformer,width_change,undershoot,6
compact_transformer,width_change,width_change,24
contrastive_sequence_encoder,rise_curvature,rise_curvature,892
contrastive_sequence_encoder,rise_curvature,late_tail,1
contrastive_sequence_encoder,rise_curvature,undershoot,305
contrastive_sequence_encoder,rise_curvature,width_change,584
contrastive_sequence_encoder,late_tail,rise_curvature,32
contrastive_sequence_encoder,late_tail,late_tail,718
contrastive_sequence_encoder,late_tail,undershoot,23
contrastive_sequence_encoder,late_tail,width_change,6
contrastive_sequence_encoder,undershoot,rise_curvature,223
contrastive_sequence_encoder,undershoot,late_tail,8
contrastive_sequence_encoder,undershoot,undershoot,643
contrastive_sequence_encoder,undershoot,width_change,491
contrastive_sequence_encoder,width_change,rise_curvature,251
contrastive_sequence_encoder,width_change,late_tail,70
contrastive_sequence_encoder,width_change,undershoot,139
contrastive_sequence_encoder,width_change,width_change,1080
gradient_boosted_trees,rise_curvature,rise_curvature,1757
gradient_boosted_trees,rise_curvature,late_tail,1
gradient_boosted_trees,rise_curvature,undershoot,11
gradient_boosted_trees,rise_curvature,width_change,13
gradient_boosted_trees,late_tail,rise_curvature,0
gradient_boosted_trees,late_tail,late_tail,778
gradient_boosted_trees,late_tail,undershoot,0
gradient_boosted_trees,late_tail,width_change,1
gradient_boosted_trees,undershoot,rise_curvature,22
gradient_boosted_trees,undershoot,late_tail,0
gradient_boosted_trees,undershoot,undershoot,1333
gradient_boosted_trees,undershoot,width_change,10
gradient_boosted_trees,width_change,rise_curvature,17
gradient_boosted_trees,width_change,late_tail,4
gradient_boosted_trees,width_change,undershoot,11
gradient_boosted_trees,width_change,width_change,1508
mlp,rise_curvature,rise_curvature,1745
mlp,rise_curvature,late_tail,4
mlp,rise_curvature,undershoot,15
mlp,rise_curvature,width_change,18
mlp,late_tail,rise_curvature,0
mlp,late_tail,late_tail,768
mlp,late_tail,undershoot,2
mlp,late_tail,width_change,9
mlp,undershoot,rise_curvature,41
mlp,undershoot,late_tail,2
mlp,undershoot,undershoot,1310
mlp,undershoot,width_change,12
mlp,width_change,rise_curvature,33
mlp,width_change,late_tail,5
mlp,width_change,undershoot,15
mlp,width_change,width_change,1487
residual_gated_shape_cnn_new,rise_curvature,rise_curvature,1215
residual_gated_shape_cnn_new,rise_curvature,late_tail,0
residual_gated_shape_cnn_new,rise_curvature,undershoot,124
residual_gated_shape_cnn_new,rise_curvature,width_change,443
residual_gated_shape_cnn_new,late_tail,rise_curvature,30
residual_gated_shape_cnn_new,late_tail,late_tail,738
residual_gated_shape_cnn_new,late_tail,undershoot,8
residual_gated_shape_cnn_new,late_tail,width_change,3
residual_gated_shape_cnn_new,undershoot,rise_curvature,551
residual_gated_shape_cnn_new,undershoot,late_tail,10
residual_gated_shape_cnn_new,undershoot,undershoot,725
residual_gated_shape_cnn_new,undershoot,width_change,79
residual_gated_shape_cnn_new,width_change,rise_curvature,112
residual_gated_shape_cnn_new,width_change,late_tail,56
residual_gated_shape_cnn_new,width_change,undershoot,87
residual_gated_shape_cnn_new,width_change,width_change,1285
ridge,rise_curvature,rise_curvature,283
ridge,rise_curvature,late_tail,645
ridge,rise_curvature,undershoot,463
ridge,rise_curvature,width_change,391
ridge,late_tail,rise_curvature,55
ridge,late_tail,late_tail,490
ridge,late_tail,undershoot,30
ridge,late_tail,width_change,204
ridge,undershoot,rise_curvature,35
ridge,undershoot,late_tail,299
ridge,undershoot,undershoot,801
ridge,undershoot,width_change,230
ridge,width_change,rise_curvature,44
ridge,width_change,late_tail,86
ridge,width_change,undershoot,100
ridge,width_change,width_change,1310
traditional_pca_cfd_dtw_cluster,rise_curvature,rise_curvature,1778
traditional_pca_cfd_dtw_cluster,rise_curvature,late_tail,0
traditional_pca_cfd_dtw_cluster,rise_curvature,undershoot,4
traditional_pca_cfd_dtw_cluster,rise_curvature,width_change,0
traditional_pca_cfd_dtw_cluster,late_tail,rise_curvature,33
traditional_pca_cfd_dtw_cluster,late_tail,late_tail,733
traditional_pca_cfd_dtw_cluster,late_tail,undershoot,13
traditional_pca_cfd_dtw_cluster,late_tail,width_change,0
traditional_pca_cfd_dtw_cluster,undershoot,rise_curvature,828
traditional_pca_cfd_dtw_cluster,undershoot,late_tail,204
traditional_pca_cfd_dtw_cluster,undershoot,undershoot,333
traditional_pca_cfd_dtw_cluster,undershoot,width_change,0
traditional_pca_cfd_dtw_cluster,width_change,rise_curvature,1447
traditional_pca_cfd_dtw_cluster,width_change,late_tail,89
traditional_pca_cfd_dtw_cluster,width_change,undershoot,4
traditional_pca_cfd_dtw_cluster,width_change,width_change,0
