method,mode,clean_acceptance_mean,false_positive_rate_mean,injected_rejection_mean,runs
gradient_boosted_trees,fixed_clean_efficiency,0.9531983377942145,0.046801662205785535,0.5948694781733593,7
mlp,fixed_clean_efficiency,0.9519073068280882,0.04809269317191184,0.5843191247258208,7
random_forest_s07h,fixed_clean_efficiency,0.9516596113813766,0.04834038861862365,0.5008481993502966,7
residual_tcn_fusion,fixed_clean_efficiency,0.9512236171832003,0.04877638281679979,0.4297028572588319,7
ridge_logistic,fixed_clean_efficiency,0.9526634529075257,0.0473365470924743,0.389498160618102,7
cnn_1d,fixed_clean_efficiency,0.948282624241874,0.051717375758126086,0.26906028836447055,7
traditional timing/template reference,fixed_clean_efficiency,0.9171180953025792,0.08288190469742082,0.10860413571055896,7
transparent P02 morphology,fixed_clean_efficiency,0.9565514255569763,0.04344857444302381,0.03833817060801629,7
gradient_boosted_trees,fixed_false_positive_rate,0.9531983377942145,0.046801662205785535,0.5948694781733593,7
mlp,fixed_false_positive_rate,0.9519073068280882,0.04809269317191184,0.5843191247258208,7
random_forest_s07h,fixed_false_positive_rate,0.9516596113813766,0.04834038861862365,0.5008481993502966,7
residual_tcn_fusion,fixed_false_positive_rate,0.9512236171832003,0.04877638281679979,0.4297028572588319,7
ridge_logistic,fixed_false_positive_rate,0.9526634529075257,0.0473365470924743,0.389498160618102,7
cnn_1d,fixed_false_positive_rate,0.948282624241874,0.051717375758126086,0.26906028836447055,7
traditional timing/template reference,fixed_false_positive_rate,0.9171180953025792,0.08288190469742082,0.10860413571055896,7
transparent P02 morphology,fixed_false_positive_rate,0.9565514255569763,0.04344857444302381,0.03833817060801629,7
