figure_id,chapter,caption_conclusion,source_script,source_csv_json,output_pdf,output_png,status,dpi,vector_available,needs_redraw,reason
FIG-GL-001,Global,S00 exact reproduction by group and physical B stave; total selected pulses = 640737,scripts/01_build_pulse_table_from_root.py,reports/studies/data_side/s00_rebuild/count_match_table.csv,,reports/studies/data_side/s00_rebuild/fig_counts_by_group_stave.png,exists,150,no,yes,Committed PNG is traceable to the canonical S00 script and the authorising corrected-staging count table; add vector/300 dpi publication rendering.
FIG-EX-001,Executive,Thesis claim-status dashboard,scripts/plot_claim_dashboard.py,docs/claim_ledger.csv,,docs/figures/claim_dashboard.png,needs_creation,,no,yes,New figure required by thesis upgrade
FIG-EX-002,Executive,Project analysis dependency graph,scripts/plot_dependency_graph.py,docs/study_catalogue.md,,docs/figures/dependency_graph.png,needs_creation,,no,yes,New figure required
FIG-EX-003,Executive,Corrected-vs-superseded values timeline,scripts/plot_correction_timeline.py,docs/claim_ledger.csv,,docs/figures/correction_timeline.png,needs_creation,,no,yes,New figure required
FIG-TIM-001,Timing,Timing resolution summary — single-stave sigma68 across B4/B6/B8,scripts/mv4_timing_study.py,reports/mv4_timing_1782678162/results.json,,docs/figures/03_timing_resolution.png,exists,150,no,yes,Replace with multi-panel timing benchmark
FIG-TIM-002,Timing,Residual vs amplitude before timewalk correction,scripts/mv4_timing_study.py,reports/mv4_timing_1782678162/results.json,,docs/figures/timing_residual_vs_amp.png,needs_creation,,no,yes,Required by thesis upgrade
FIG-TIM-003,Timing,Timewalk correction curves by stave,scripts/mv4_timing_study.py,reports/mv4_timing_1782678162/results.json,,docs/figures/timewalk_curves.png,needs_creation,,no,yes,Required by thesis upgrade
FIG-TIM-004,Timing,Residual distributions before/after timewalk correction,scripts/mv4_timing_study.py,reports/mv4_timing_1782678162/results.json,,docs/figures/residual_before_after.png,needs_creation,,no,yes,Required by thesis upgrade
FIG-TIM-005,Timing,Run-by-run LORO timing stability,scripts/mv4_timing_study.py,reports/mv4_timing_1782678162/results.json,,docs/figures/loro_stability.png,needs_creation,,no,yes,Required by thesis upgrade
FIG-TIM-006,Timing,ML architecture sweep bar chart,scripts/ml_timing_benchmark.py,reports/ml_timing/results.json,,docs/figures/ml_architecture_sweep.png,needs_creation,,no,yes,Required by thesis upgrade
FIG-TIM-007,Timing,Shuffled-target leakage-control diagnostic,scripts/ml_timing_benchmark.py,reports/ml_timing/leakage_results.json,,docs/figures/ml_leakage_control.png,needs_creation,,no,yes,Required by thesis upgrade
FIG-TIM-008,Timing,Pair covariance heatmap (B2/B4/B6/B8),scripts/mv4_timing_study.py,reports/mv4_timing_1782678162/results.json,,docs/figures/covariance_heatmap.png,needs_creation,,no,yes,Required by thesis upgrade
FIG-TIM-009,Timing,Combined event-time estimator comparison,scripts/mv4_timing_study.py,reports/mv4_timing_1782678162/results.json,,docs/figures/combined_timing.png,needs_creation,,no,yes,Required by thesis upgrade
FIG-TIM-010,Timing,MC raw timing overlay,scripts/mv4_timing_study.py,reports/mv4_timing_1782678162/results.json,,docs/figures/04_mc_vs_data.png,exists,150,no,yes,Add overlays/ratio/pull panels
FIG-TIM-011,Timing,MC corrected timing overlay with ratio/pull,scripts/mv4_timing_study.py,reports/mv4_timing_1782678162/results.json,,docs/figures/mc_corrected_timing.png,needs_creation,,no,yes,Required by thesis upgrade
FIG-TIM-012,Timing,MV4b toy-vs-physical timewalk diagnostic,scripts/mv4b_timewalk_model.py,reports/mv4b_timewalk_model/results.json,,reports/mv4b_timewalk_model/mv4b_timewalk_model.png,exists,150,no,yes,Upgrade to vector + 300dpi
FIG-PU-001,Pile-up,Example clean vs overlapped waveforms,scripts/mv5_pileup_study.py,reports/mv5_pileup_1782678353/results.json,,docs/figures/overlap_examples.png,needs_creation,,no,yes,Required by thesis upgrade
FIG-PU-002,Pile-up,Pulse template tail and tau_eff crossing,scripts/mv5_pileup_study.py,reports/mv5_pileup_1782678353/results.json,,docs/figures/tau_eff_derivation.png,needs_creation,,no,yes,Required by thesis upgrade
FIG-PU-003,Pile-up,Source-backed MV5 duty-scaled reciprocal and tau variants; canonical Rmax remains blocked pending definition resolution,scripts/mv5_pileup_study.py,reports/mv5_pileup_1782678353/mv5_pileup_summary.json,,reports/mv5_pileup_1782678353/mv5_pileup.png,exists,130,no,yes,"Tracked six-panel MV5 figure shows the reported duty-scaled reciprocal and failure curve; it is not an accepted Rmax result until S-STAT-003 resolves the occupancy, duty-factor, and recovery-ceiling definitions."
FIG-PS-001,Pulse Shape,PCA components and variance explained,scripts/mv6_pca_rerun.py,reports/mv6_representation_1782678362/pca_results.json,,docs/figures/05_pca_vs_ae.png,exists,150,no,yes,Regenerate with corrected PCA variance normalization
FIG-EN-001,Energy,ADC vs deposited energy scatter with gain fit,scripts/mv0_calibration.py,reports/mv0_calibration_1782677847/results.json,,docs/figures/mv0_adc_vs_edep.png,exists,150,no,yes,Add uncertainty/per-stave panels
FIG-PID-001,PID,PID ROC/AUC with confusion matrix,scripts/mv1_pid.py,reports/mv1_pid/results.json,,docs/figures/07_pid_auc.png,exists,150,no,yes,Add ROC/PR/confusion/feature importance
FIG-AN-001,Anomaly,C12 anomaly waveform cluster,scripts/mv6_anomaly.py,reports/mv6_representation_1782678362/results.json,,docs/figures/08_c12_anomaly.png,exists,150,no,yes,Add cluster/species/veto panels
FIG-MC-001,MC Validation,Master MC validation synthesis dashboard,scripts/mv9_synthesis.py,reports/mc_validation_synthesis/results.json,,docs/figures/mv9_synthesis.png,exists,150,no,yes,Remove emoji/marketing; make paper dashboard
FIG-SYS-001,Systematics,Systematic uncertainty budget waterfall,scripts/plot_systematics.py,docs/systematic_budget.json,,docs/figures/09_systematic_budget.png,exists,150,no,yes,Rebuild per observable with waterfall + correlation matrix
