heldout_run,method,variant,alpha,cv_sigma68_ns,n_features,feature_names,base_method,train_rows
59,ml_extra_trees_plus_score,plus_score,,,24,,cfd20,9171.0
59,ml_extra_trees_score_residualized,score_residualized,,,24,,cfd20,9171.0
60,traditional_no_score,no_score,1.0,,47,"['stave_B4', 'stave_B6', 'stave_B8', 'log_amp', 'inv_amp_1000', 'inv_sqrt_amp_1000', 'peak_sample', 'area_over_amp', 'cfd50_minus_cfd10_ns', 'cfd40_minus_cfd20_ns', 'max_norm_slope', 'early_norm_charge', 'late_norm_charge', 'norm_peak_height', 'log_amp_x_B4', 'inv_amp_1000_x_B4', 'inv_sqrt_amp_1000_x_B4', 'peak_sample_x_B4', 'area_over_amp_x_B4', 'cfd50_minus_cfd10_ns_x_B4', 'cfd40_minus_cfd20_ns_x_B4', 'max_norm_slope_x_B4', 'early_norm_charge_x_B4', 'late_norm_charge_x_B4', 'norm_peak_height_x_B4', 'log_amp_x_B6', 'inv_amp_1000_x_B6', 'inv_sqrt_amp_1000_x_B6', 'peak_sample_x_B6', 'area_over_amp_x_B6', 'cfd50_minus_cfd10_ns_x_B6', 'cfd40_minus_cfd20_ns_x_B6', 'max_norm_slope_x_B6', 'early_norm_charge_x_B6', 'late_norm_charge_x_B6', 'norm_peak_height_x_B6', 'log_amp_x_B8', 'inv_amp_1000_x_B8', 'inv_sqrt_amp_1000_x_B8', 'peak_sample_x_B8', 'area_over_amp_x_B8', 'cfd50_minus_cfd10_ns_x_B8', 'cfd40_minus_cfd20_ns_x_B8', 'max_norm_slope_x_B8', 'early_norm_charge_x_B8', 'late_norm_charge_x_B8', 'norm_peak_height_x_B8']",,
60,traditional_plus_score,plus_score,1.0,,48,"['stave_B4', 'stave_B6', 'stave_B8', 'log_amp', 'inv_amp_1000', 'inv_sqrt_amp_1000', 'peak_sample', 'area_over_amp', 'cfd50_minus_cfd10_ns', 'cfd40_minus_cfd20_ns', 'max_norm_slope', 'early_norm_charge', 'late_norm_charge', 'norm_peak_height', 'log_amp_x_B4', 'inv_amp_1000_x_B4', 'inv_sqrt_amp_1000_x_B4', 'peak_sample_x_B4', 'area_over_amp_x_B4', 'cfd50_minus_cfd10_ns_x_B4', 'cfd40_minus_cfd20_ns_x_B4', 'max_norm_slope_x_B4', 'early_norm_charge_x_B4', 'late_norm_charge_x_B4', 'norm_peak_height_x_B4', 'log_amp_x_B6', 'inv_amp_1000_x_B6', 'inv_sqrt_amp_1000_x_B6', 'peak_sample_x_B6', 'area_over_amp_x_B6', 'cfd50_minus_cfd10_ns_x_B6', 'cfd40_minus_cfd20_ns_x_B6', 'max_norm_slope_x_B6', 'early_norm_charge_x_B6', 'late_norm_charge_x_B6', 'norm_peak_height_x_B6', 'log_amp_x_B8', 'inv_amp_1000_x_B8', 'inv_sqrt_amp_1000_x_B8', 'peak_sample_x_B8', 'area_over_amp_x_B8', 'cfd50_minus_cfd10_ns_x_B8', 'cfd40_minus_cfd20_ns_x_B8', 'max_norm_slope_x_B8', 'early_norm_charge_x_B8', 'late_norm_charge_x_B8', 'norm_peak_height_x_B8', 'p01b_epoch_logit']",,
60,traditional_score_residualized,score_residualized,1.0,,48,"['stave_B4', 'stave_B6', 'stave_B8', 'log_amp', 'inv_amp_1000', 'inv_sqrt_amp_1000', 'peak_sample', 'area_over_amp', 'cfd50_minus_cfd10_ns', 'cfd40_minus_cfd20_ns', 'max_norm_slope', 'early_norm_charge', 'late_norm_charge', 'norm_peak_height', 'log_amp_x_B4', 'inv_amp_1000_x_B4', 'inv_sqrt_amp_1000_x_B4', 'peak_sample_x_B4', 'area_over_amp_x_B4', 'cfd50_minus_cfd10_ns_x_B4', 'cfd40_minus_cfd20_ns_x_B4', 'max_norm_slope_x_B4', 'early_norm_charge_x_B4', 'late_norm_charge_x_B4', 'norm_peak_height_x_B4', 'log_amp_x_B6', 'inv_amp_1000_x_B6', 'inv_sqrt_amp_1000_x_B6', 'peak_sample_x_B6', 'area_over_amp_x_B6', 'cfd50_minus_cfd10_ns_x_B6', 'cfd40_minus_cfd20_ns_x_B6', 'max_norm_slope_x_B6', 'early_norm_charge_x_B6', 'late_norm_charge_x_B6', 'norm_peak_height_x_B6', 'log_amp_x_B8', 'inv_amp_1000_x_B8', 'inv_sqrt_amp_1000_x_B8', 'peak_sample_x_B8', 'area_over_amp_x_B8', 'cfd50_minus_cfd10_ns_x_B8', 'cfd40_minus_cfd20_ns_x_B8', 'max_norm_slope_x_B8', 'early_norm_charge_x_B8', 'late_norm_charge_x_B8', 'norm_peak_height_x_B8', 'p01b_epoch_logit_resid']",,
60,ml_extra_trees_no_score,no_score,,,23,,cfd20,9036.0
60,ml_extra_trees_plus_score,plus_score,,,24,,cfd20,9036.0
60,ml_extra_trees_score_residualized,score_residualized,,,24,,cfd20,9036.0
61,traditional_no_score,no_score,1.0,,47,"['stave_B4', 'stave_B6', 'stave_B8', 'log_amp', 'inv_amp_1000', 'inv_sqrt_amp_1000', 'peak_sample', 'area_over_amp', 'cfd50_minus_cfd10_ns', 'cfd40_minus_cfd20_ns', 'max_norm_slope', 'early_norm_charge', 'late_norm_charge', 'norm_peak_height', 'log_amp_x_B4', 'inv_amp_1000_x_B4', 'inv_sqrt_amp_1000_x_B4', 'peak_sample_x_B4', 'area_over_amp_x_B4', 'cfd50_minus_cfd10_ns_x_B4', 'cfd40_minus_cfd20_ns_x_B4', 'max_norm_slope_x_B4', 'early_norm_charge_x_B4', 'late_norm_charge_x_B4', 'norm_peak_height_x_B4', 'log_amp_x_B6', 'inv_amp_1000_x_B6', 'inv_sqrt_amp_1000_x_B6', 'peak_sample_x_B6', 'area_over_amp_x_B6', 'cfd50_minus_cfd10_ns_x_B6', 'cfd40_minus_cfd20_ns_x_B6', 'max_norm_slope_x_B6', 'early_norm_charge_x_B6', 'late_norm_charge_x_B6', 'norm_peak_height_x_B6', 'log_amp_x_B8', 'inv_amp_1000_x_B8', 'inv_sqrt_amp_1000_x_B8', 'peak_sample_x_B8', 'area_over_amp_x_B8', 'cfd50_minus_cfd10_ns_x_B8', 'cfd40_minus_cfd20_ns_x_B8', 'max_norm_slope_x_B8', 'early_norm_charge_x_B8', 'late_norm_charge_x_B8', 'norm_peak_height_x_B8']",,
61,traditional_plus_score,plus_score,1.0,,48,"['stave_B4', 'stave_B6', 'stave_B8', 'log_amp', 'inv_amp_1000', 'inv_sqrt_amp_1000', 'peak_sample', 'area_over_amp', 'cfd50_minus_cfd10_ns', 'cfd40_minus_cfd20_ns', 'max_norm_slope', 'early_norm_charge', 'late_norm_charge', 'norm_peak_height', 'log_amp_x_B4', 'inv_amp_1000_x_B4', 'inv_sqrt_amp_1000_x_B4', 'peak_sample_x_B4', 'area_over_amp_x_B4', 'cfd50_minus_cfd10_ns_x_B4', 'cfd40_minus_cfd20_ns_x_B4', 'max_norm_slope_x_B4', 'early_norm_charge_x_B4', 'late_norm_charge_x_B4', 'norm_peak_height_x_B4', 'log_amp_x_B6', 'inv_amp_1000_x_B6', 'inv_sqrt_amp_1000_x_B6', 'peak_sample_x_B6', 'area_over_amp_x_B6', 'cfd50_minus_cfd10_ns_x_B6', 'cfd40_minus_cfd20_ns_x_B6', 'max_norm_slope_x_B6', 'early_norm_charge_x_B6', 'late_norm_charge_x_B6', 'norm_peak_height_x_B6', 'log_amp_x_B8', 'inv_amp_1000_x_B8', 'inv_sqrt_amp_1000_x_B8', 'peak_sample_x_B8', 'area_over_amp_x_B8', 'cfd50_minus_cfd10_ns_x_B8', 'cfd40_minus_cfd20_ns_x_B8', 'max_norm_slope_x_B8', 'early_norm_charge_x_B8', 'late_norm_charge_x_B8', 'norm_peak_height_x_B8', 'p01b_epoch_logit']",,
61,traditional_score_residualized,score_residualized,1.0,,48,"['stave_B4', 'stave_B6', 'stave_B8', 'log_amp', 'inv_amp_1000', 'inv_sqrt_amp_1000', 'peak_sample', 'area_over_amp', 'cfd50_minus_cfd10_ns', 'cfd40_minus_cfd20_ns', 'max_norm_slope', 'early_norm_charge', 'late_norm_charge', 'norm_peak_height', 'log_amp_x_B4', 'inv_amp_1000_x_B4', 'inv_sqrt_amp_1000_x_B4', 'peak_sample_x_B4', 'area_over_amp_x_B4', 'cfd50_minus_cfd10_ns_x_B4', 'cfd40_minus_cfd20_ns_x_B4', 'max_norm_slope_x_B4', 'early_norm_charge_x_B4', 'late_norm_charge_x_B4', 'norm_peak_height_x_B4', 'log_amp_x_B6', 'inv_amp_1000_x_B6', 'inv_sqrt_amp_1000_x_B6', 'peak_sample_x_B6', 'area_over_amp_x_B6', 'cfd50_minus_cfd10_ns_x_B6', 'cfd40_minus_cfd20_ns_x_B6', 'max_norm_slope_x_B6', 'early_norm_charge_x_B6', 'late_norm_charge_x_B6', 'norm_peak_height_x_B6', 'log_amp_x_B8', 'inv_amp_1000_x_B8', 'inv_sqrt_amp_1000_x_B8', 'peak_sample_x_B8', 'area_over_amp_x_B8', 'cfd50_minus_cfd10_ns_x_B8', 'cfd40_minus_cfd20_ns_x_B8', 'max_norm_slope_x_B8', 'early_norm_charge_x_B8', 'late_norm_charge_x_B8', 'norm_peak_height_x_B8', 'p01b_epoch_logit_resid']",,
61,ml_extra_trees_no_score,no_score,,,23,,cfd20,8661.0
61,ml_extra_trees_plus_score,plus_score,,,24,,cfd20,8661.0
61,ml_extra_trees_score_residualized,score_residualized,,,24,,cfd20,8661.0
62,traditional_no_score,no_score,1.0,,47,"['stave_B4', 'stave_B6', 'stave_B8', 'log_amp', 'inv_amp_1000', 'inv_sqrt_amp_1000', 'peak_sample', 'area_over_amp', 'cfd50_minus_cfd10_ns', 'cfd40_minus_cfd20_ns', 'max_norm_slope', 'early_norm_charge', 'late_norm_charge', 'norm_peak_height', 'log_amp_x_B4', 'inv_amp_1000_x_B4', 'inv_sqrt_amp_1000_x_B4', 'peak_sample_x_B4', 'area_over_amp_x_B4', 'cfd50_minus_cfd10_ns_x_B4', 'cfd40_minus_cfd20_ns_x_B4', 'max_norm_slope_x_B4', 'early_norm_charge_x_B4', 'late_norm_charge_x_B4', 'norm_peak_height_x_B4', 'log_amp_x_B6', 'inv_amp_1000_x_B6', 'inv_sqrt_amp_1000_x_B6', 'peak_sample_x_B6', 'area_over_amp_x_B6', 'cfd50_minus_cfd10_ns_x_B6', 'cfd40_minus_cfd20_ns_x_B6', 'max_norm_slope_x_B6', 'early_norm_charge_x_B6', 'late_norm_charge_x_B6', 'norm_peak_height_x_B6', 'log_amp_x_B8', 'inv_amp_1000_x_B8', 'inv_sqrt_amp_1000_x_B8', 'peak_sample_x_B8', 'area_over_amp_x_B8', 'cfd50_minus_cfd10_ns_x_B8', 'cfd40_minus_cfd20_ns_x_B8', 'max_norm_slope_x_B8', 'early_norm_charge_x_B8', 'late_norm_charge_x_B8', 'norm_peak_height_x_B8']",,
62,traditional_plus_score,plus_score,1.0,,48,"['stave_B4', 'stave_B6', 'stave_B8', 'log_amp', 'inv_amp_1000', 'inv_sqrt_amp_1000', 'peak_sample', 'area_over_amp', 'cfd50_minus_cfd10_ns', 'cfd40_minus_cfd20_ns', 'max_norm_slope', 'early_norm_charge', 'late_norm_charge', 'norm_peak_height', 'log_amp_x_B4', 'inv_amp_1000_x_B4', 'inv_sqrt_amp_1000_x_B4', 'peak_sample_x_B4', 'area_over_amp_x_B4', 'cfd50_minus_cfd10_ns_x_B4', 'cfd40_minus_cfd20_ns_x_B4', 'max_norm_slope_x_B4', 'early_norm_charge_x_B4', 'late_norm_charge_x_B4', 'norm_peak_height_x_B4', 'log_amp_x_B6', 'inv_amp_1000_x_B6', 'inv_sqrt_amp_1000_x_B6', 'peak_sample_x_B6', 'area_over_amp_x_B6', 'cfd50_minus_cfd10_ns_x_B6', 'cfd40_minus_cfd20_ns_x_B6', 'max_norm_slope_x_B6', 'early_norm_charge_x_B6', 'late_norm_charge_x_B6', 'norm_peak_height_x_B6', 'log_amp_x_B8', 'inv_amp_1000_x_B8', 'inv_sqrt_amp_1000_x_B8', 'peak_sample_x_B8', 'area_over_amp_x_B8', 'cfd50_minus_cfd10_ns_x_B8', 'cfd40_minus_cfd20_ns_x_B8', 'max_norm_slope_x_B8', 'early_norm_charge_x_B8', 'late_norm_charge_x_B8', 'norm_peak_height_x_B8', 'p01b_epoch_logit']",,
62,traditional_score_residualized,score_residualized,1.0,,48,"['stave_B4', 'stave_B6', 'stave_B8', 'log_amp', 'inv_amp_1000', 'inv_sqrt_amp_1000', 'peak_sample', 'area_over_amp', 'cfd50_minus_cfd10_ns', 'cfd40_minus_cfd20_ns', 'max_norm_slope', 'early_norm_charge', 'late_norm_charge', 'norm_peak_height', 'log_amp_x_B4', 'inv_amp_1000_x_B4', 'inv_sqrt_amp_1000_x_B4', 'peak_sample_x_B4', 'area_over_amp_x_B4', 'cfd50_minus_cfd10_ns_x_B4', 'cfd40_minus_cfd20_ns_x_B4', 'max_norm_slope_x_B4', 'early_norm_charge_x_B4', 'late_norm_charge_x_B4', 'norm_peak_height_x_B4', 'log_amp_x_B6', 'inv_amp_1000_x_B6', 'inv_sqrt_amp_1000_x_B6', 'peak_sample_x_B6', 'area_over_amp_x_B6', 'cfd50_minus_cfd10_ns_x_B6', 'cfd40_minus_cfd20_ns_x_B6', 'max_norm_slope_x_B6', 'early_norm_charge_x_B6', 'late_norm_charge_x_B6', 'norm_peak_height_x_B6', 'log_amp_x_B8', 'inv_amp_1000_x_B8', 'inv_sqrt_amp_1000_x_B8', 'peak_sample_x_B8', 'area_over_amp_x_B8', 'cfd50_minus_cfd10_ns_x_B8', 'cfd40_minus_cfd20_ns_x_B8', 'max_norm_slope_x_B8', 'early_norm_charge_x_B8', 'late_norm_charge_x_B8', 'norm_peak_height_x_B8', 'p01b_epoch_logit_resid']",,
62,ml_extra_trees_no_score,no_score,,,23,,cfd20,9039.0
62,ml_extra_trees_plus_score,plus_score,,,24,,cfd20,9039.0
62,ml_extra_trees_score_residualized,score_residualized,,,24,,cfd20,9039.0
63,traditional_no_score,no_score,1.0,,47,"['stave_B4', 'stave_B6', 'stave_B8', 'log_amp', 'inv_amp_1000', 'inv_sqrt_amp_1000', 'peak_sample', 'area_over_amp', 'cfd50_minus_cfd10_ns', 'cfd40_minus_cfd20_ns', 'max_norm_slope', 'early_norm_charge', 'late_norm_charge', 'norm_peak_height', 'log_amp_x_B4', 'inv_amp_1000_x_B4', 'inv_sqrt_amp_1000_x_B4', 'peak_sample_x_B4', 'area_over_amp_x_B4', 'cfd50_minus_cfd10_ns_x_B4', 'cfd40_minus_cfd20_ns_x_B4', 'max_norm_slope_x_B4', 'early_norm_charge_x_B4', 'late_norm_charge_x_B4', 'norm_peak_height_x_B4', 'log_amp_x_B6', 'inv_amp_1000_x_B6', 'inv_sqrt_amp_1000_x_B6', 'peak_sample_x_B6', 'area_over_amp_x_B6', 'cfd50_minus_cfd10_ns_x_B6', 'cfd40_minus_cfd20_ns_x_B6', 'max_norm_slope_x_B6', 'early_norm_charge_x_B6', 'late_norm_charge_x_B6', 'norm_peak_height_x_B6', 'log_amp_x_B8', 'inv_amp_1000_x_B8', 'inv_sqrt_amp_1000_x_B8', 'peak_sample_x_B8', 'area_over_amp_x_B8', 'cfd50_minus_cfd10_ns_x_B8', 'cfd40_minus_cfd20_ns_x_B8', 'max_norm_slope_x_B8', 'early_norm_charge_x_B8', 'late_norm_charge_x_B8', 'norm_peak_height_x_B8']",,
63,traditional_plus_score,plus_score,1.0,,48,"['stave_B4', 'stave_B6', 'stave_B8', 'log_amp', 'inv_amp_1000', 'inv_sqrt_amp_1000', 'peak_sample', 'area_over_amp', 'cfd50_minus_cfd10_ns', 'cfd40_minus_cfd20_ns', 'max_norm_slope', 'early_norm_charge', 'late_norm_charge', 'norm_peak_height', 'log_amp_x_B4', 'inv_amp_1000_x_B4', 'inv_sqrt_amp_1000_x_B4', 'peak_sample_x_B4', 'area_over_amp_x_B4', 'cfd50_minus_cfd10_ns_x_B4', 'cfd40_minus_cfd20_ns_x_B4', 'max_norm_slope_x_B4', 'early_norm_charge_x_B4', 'late_norm_charge_x_B4', 'norm_peak_height_x_B4', 'log_amp_x_B6', 'inv_amp_1000_x_B6', 'inv_sqrt_amp_1000_x_B6', 'peak_sample_x_B6', 'area_over_amp_x_B6', 'cfd50_minus_cfd10_ns_x_B6', 'cfd40_minus_cfd20_ns_x_B6', 'max_norm_slope_x_B6', 'early_norm_charge_x_B6', 'late_norm_charge_x_B6', 'norm_peak_height_x_B6', 'log_amp_x_B8', 'inv_amp_1000_x_B8', 'inv_sqrt_amp_1000_x_B8', 'peak_sample_x_B8', 'area_over_amp_x_B8', 'cfd50_minus_cfd10_ns_x_B8', 'cfd40_minus_cfd20_ns_x_B8', 'max_norm_slope_x_B8', 'early_norm_charge_x_B8', 'late_norm_charge_x_B8', 'norm_peak_height_x_B8', 'p01b_epoch_logit']",,
63,traditional_score_residualized,score_residualized,1.0,,48,"['stave_B4', 'stave_B6', 'stave_B8', 'log_amp', 'inv_amp_1000', 'inv_sqrt_amp_1000', 'peak_sample', 'area_over_amp', 'cfd50_minus_cfd10_ns', 'cfd40_minus_cfd20_ns', 'max_norm_slope', 'early_norm_charge', 'late_norm_charge', 'norm_peak_height', 'log_amp_x_B4', 'inv_amp_1000_x_B4', 'inv_sqrt_amp_1000_x_B4', 'peak_sample_x_B4', 'area_over_amp_x_B4', 'cfd50_minus_cfd10_ns_x_B4', 'cfd40_minus_cfd20_ns_x_B4', 'max_norm_slope_x_B4', 'early_norm_charge_x_B4', 'late_norm_charge_x_B4', 'norm_peak_height_x_B4', 'log_amp_x_B6', 'inv_amp_1000_x_B6', 'inv_sqrt_amp_1000_x_B6', 'peak_sample_x_B6', 'area_over_amp_x_B6', 'cfd50_minus_cfd10_ns_x_B6', 'cfd40_minus_cfd20_ns_x_B6', 'max_norm_slope_x_B6', 'early_norm_charge_x_B6', 'late_norm_charge_x_B6', 'norm_peak_height_x_B6', 'log_amp_x_B8', 'inv_amp_1000_x_B8', 'inv_sqrt_amp_1000_x_B8', 'peak_sample_x_B8', 'area_over_amp_x_B8', 'cfd50_minus_cfd10_ns_x_B8', 'cfd40_minus_cfd20_ns_x_B8', 'max_norm_slope_x_B8', 'early_norm_charge_x_B8', 'late_norm_charge_x_B8', 'norm_peak_height_x_B8', 'p01b_epoch_logit_resid']",,
63,ml_extra_trees_no_score,no_score,,,23,,cfd20,10350.0
63,ml_extra_trees_plus_score,plus_score,,,24,,cfd20,10350.0
63,ml_extra_trees_score_residualized,score_residualized,,,24,,cfd20,10350.0
