pool,check,value,flag
run64_only,forbidden_feature_overlap,,False
run64_only,n_train_runs,1,True
run64_only,single_run_or_tiny_pool,16,True
sample_iii_early,forbidden_feature_overlap,,False
sample_iii_early,n_train_runs,11,False
sample_iii_early,row_split_advantage_rmse_ns,0.8362061144760968,True
sample_iii_early,shuffled_target_r2,-0.011193505015405947,False
sample_iii_early,run_id_predictability_r2,0.004282069372342878,False
sample_iii_late,forbidden_feature_overlap,,False
sample_iii_late,n_train_runs,14,False
sample_iii_late,row_split_advantage_rmse_ns,1.259806315191169,True
sample_iii_late,shuffled_target_r2,-0.003317645322216345,False
sample_iii_late,run_id_predictability_r2,-0.0005395260691563042,False
sample_iii_mixed,forbidden_feature_overlap,,False
sample_iii_mixed,n_train_runs,25,False
sample_iii_mixed,row_split_advantage_rmse_ns,1.1369716738256868,True
sample_iii_mixed,shuffled_target_r2,-0.07100233020310309,False
sample_iii_mixed,run_id_predictability_r2,0.004830331084399786,False
