heldout_run,n,traditional_brier,ml_brier,traditional_log_loss,ml_log_loss,brier_improvement,log_loss_improvement
44,1912,0.025447306789134337,0.0799286718329694,0.11782769655188795,0.3132476126239359,-0.05448136504383506,-0.19541991607204795
45,23013,0.022757095387526446,0.07011368870597114,0.10620134618799962,0.2794182603128185,-0.04735659331844469,-0.1732169141248189
46,677,0.009289113278093222,0.04889867821470388,0.05683731048335069,0.21978071317750011,-0.03960956493661066,-0.16294340269414942
47,5161,0.01012302990087402,0.04786036506609752,0.05676855436814815,0.21654222504645412,-0.0377373351652235,-0.15977367067830597
48,13185,0.022535738231884657,0.07914846882117077,0.10351467885245777,0.3089480452170055,-0.05661273058928611,-0.2054333663645477
49,13937,0.024535588515748517,0.0790161914396872,0.11447221971118927,0.3078798053926357,-0.054480602923938685,-0.19340758568144645
50,34257,0.01512106868050235,0.03224623127879973,0.07539473558795795,0.1534895647480041,-0.017125162598297376,-0.07809482916004615
51,14295,0.013823808151378418,0.03818972956595291,0.06916857236103098,0.17466504070680644,-0.02436592141457449,-0.10549646834577546
52,6933,0.01417831462983798,0.038910376875420205,0.06995222173716721,0.17618873488294143,-0.024732062245582227,-0.10623651314577422
53,31386,0.013014426129865177,0.028257514997533425,0.06532640870691152,0.14391032070993878,-0.015243088867668248,-0.07858391200302726
54,29665,0.012927384231981292,0.028880433108536593,0.06537007147115834,0.14541812770766702,-0.0159530488765553,-0.08004805623650868
55,16841,0.014604345237146916,0.03622844038201672,0.07097521068133084,0.16803748255661588,-0.0216240951448698,-0.09706227187528504
56,38932,0.01555533118573609,0.03316945574623874,0.07579147617592621,0.15595289314993419,-0.017614124560502646,-0.08016141697400797
57,12939,0.02501444859003439,0.07807713548354969,0.11429173804408994,0.30200033833766743,-0.0530626868935153,-0.1877086002935775
