control,slice,value,interpretation
runwise nuisance location,run_44,11.5,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_45,11.5,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_46,8.5,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_47,8.0,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_48,12.25,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_49,10.25,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_50,12.75,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_51,12.0,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_52,15.0,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_53,13.0,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_54,11.5,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_55,11.5,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_56,11.75,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_57,12.0,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_58,11.5,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_59,10.5,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_60,11.0,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_61,11.0,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_62,11.0,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_63,11.0,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_64,11.0,"reported as systematic, not a pass/fail leakage gate"
runwise nuisance location,run_65,10.0,"reported as systematic, not a pass/fail leakage gate"
target shuffle,heldout,3.144597566654641,permuted training target; should not beat the unpermuted winner
