target,check,value,threshold,flag,interpretation
5pct,group_split_by_run_mean_r2,0.8840212513190387,0.97,False,Flag only if run-held-out R2 is near-deterministic.
5pct,random_row_split_r2,0.8883453718758269,0.9,False,Large row-split advantage would indicate event/run leakage risk.
5pct,shuffled_target_r2,-0.0018748168946005617,0.1,False,Shuffled labels should not predict held-out pulse live time.
10pct,group_split_by_run_mean_r2,0.8839928589969487,0.97,False,Flag only if run-held-out R2 is near-deterministic.
10pct,random_row_split_r2,0.8885441250649111,0.9,False,Large row-split advantage would indicate event/run leakage risk.
10pct,shuffled_target_r2,0.008243830951992548,0.1,False,Shuffled labels should not predict held-out pulse live time.
20pct,group_split_by_run_mean_r2,0.8895180479068567,0.97,False,Flag only if run-held-out R2 is near-deterministic.
20pct,random_row_split_r2,0.8947901048140046,0.9,False,Large row-split advantage would indicate event/run leakage risk.
20pct,shuffled_target_r2,-0.0021077243953662173,0.1,False,Shuffled labels should not predict held-out pulse live time.
noise_floor,group_split_by_run_mean_r2,0.8150978473339945,0.97,False,Flag only if run-held-out R2 is near-deterministic.
noise_floor,random_row_split_r2,0.8231653605922478,0.9,False,Large row-split advantage would indicate event/run leakage risk.
noise_floor,shuffled_target_r2,0.005048893948813249,0.1,False,Shuffled labels should not predict held-out pulse live time.
all,forbidden_features_present,0.0,0.0,False,"Feature list excludes run, event id, current, and direct last-above-threshold width."
