run,stave,n,high_q,high_q_rate,q_median,q_p90,amp_median,peak_median
58,B2,1800,72,0.04,0.0378862765609197,0.07782740331165404,4145.75,7.0
58,B4,591,64,0.10829103214890017,0.0352624029001474,0.1479267065464573,3037.0,8.0
58,B6,285,15,0.05263157894736842,0.0324098888756071,0.0848731357231861,2723.0,8.0
58,B8,114,6,0.05263157894736842,0.0338847239454104,0.10168209851155505,3074.0,10.0
59,B2,1800,327,0.18166666666666667,0.04406517603856215,0.27634696942844034,3202.75,7.0
59,B4,1800,237,0.13166666666666665,0.0418113540811705,0.17931587001409943,2792.75,7.0
59,B6,1800,223,0.1238888888888889,0.03664075478536975,0.16096065290230852,2648.25,8.0
59,B8,919,114,0.12404787812840043,0.0434434312263233,0.1513189774410062,3091.0,8.0
60,B2,1800,223,0.1238888888888889,0.04301510904461805,0.19525673855870665,3318.25,7.0
60,B4,1800,242,0.13444444444444445,0.04540002046674005,0.172569883623616,3117.5,7.0
60,B6,1800,233,0.12944444444444445,0.0413234785857711,0.17918768402757504,2976.5,7.0
60,B8,927,132,0.1423948220064725,0.046259141311868604,0.16693050884799238,3392.5,7.0
61,B2,1800,241,0.1338888888888889,0.0432355923477818,0.1968632645363918,3223.25,7.0
61,B4,1800,236,0.13111111111111112,0.05394907297778625,0.1825048101903233,2911.0,7.0
61,B6,1800,211,0.11722222222222223,0.0404530582850324,0.152538385713897,2888.0,8.0
61,B8,1059,122,0.11520302171860246,0.0451581778835791,0.14061994991800775,3274.0,8.0
62,B2,1800,244,0.13555555555555557,0.040354801732192705,0.19636706052902075,3245.75,7.0
62,B4,1800,259,0.1438888888888889,0.0441587417798645,0.21295473732840495,2908.0,7.0
62,B6,1800,231,0.12833333333333333,0.0371694830918232,0.17717239332928048,2731.0,8.0
62,B8,929,128,0.1377825618945102,0.0446206676842178,0.18158160142812932,3204.0,8.0
63,B2,1800,250,0.1388888888888889,0.038967371616167354,0.19740234757911415,3341.0,7.0
63,B4,1800,237,0.13166666666666665,0.04276899309071365,0.2021016024846199,2784.0,7.0
63,B6,1153,138,0.1196877710320902,0.0349075341061048,0.14561586817549174,2559.0,8.0
63,B8,453,57,0.12582781456953643,0.041632767497225553,0.15057145368100103,3083.5,8.0
65,B2,1800,166,0.09222222222222222,0.03660131304808985,0.1076237895595385,3032.5,7.0
65,B4,842,92,0.10926365795724466,0.0398698056411486,0.13742311721918984,2818.0,8.0
65,B6,323,31,0.09597523219814241,0.0295409121816622,0.11919455745007043,2596.5,8.0
65,B8,105,8,0.0761904761904762,0.03527620884757915,0.08024017291832085,2833.5,8.0
