method,subset,n_pair_rows,n_runs,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,full_rms_ns,tail_frac_abs_gt5ns,note
raw_pair_median,all,65457,21,2.081917932503293,1.766760240174596,6.741671553927073,20.676493655812347,0.14163496646653528,pair-median centered raw CFD20 residual
raw_pair_median,A_any_selected,380,17,3.427128203392883,2.1216758149440156,17.58980167069597,28.880756934166754,0.2026315789473684,pair-median centered raw CFD20 residual
raw_pair_median,downstream_only,21521,21,1.7323699139564654,1.6893344259739638,1.763379564425121,6.537579749410688,0.017192509641745273,pair-median centered raw CFD20 residual
traditional_b_only,all,65457,21,7.743658655778569,7.033223949897949,9.583078418107853,12.610442547299016,0.478573720152161,run-held-out Ridge using B pair amplitude/shape features
traditional_b_only,A_any_selected,380,17,9.196742634605624,7.440687252108049,13.764661252878717,15.013564062047271,0.5657894736842105,run-held-out Ridge using B pair amplitude/shape features
traditional_b_only,downstream_only,21521,21,7.275292773621613,6.826334284072057,8.202523364355777,9.180882269969842,0.46703220110589655,run-held-out Ridge using B pair amplitude/shape features
traditional_b_plus_a,all,65457,21,7.745580290444014,7.076976536698733,9.656572860000212,12.612920224614932,0.47828345325939164,same Ridge plus event-matched A-stack controls
traditional_b_plus_a,A_any_selected,380,17,9.105738509062029,7.570629056490232,13.815738172740852,15.043216626045686,0.5473684210526316,same Ridge plus event-matched A-stack controls
traditional_b_plus_a,downstream_only,21521,21,7.267619912710544,6.810438273454766,8.276631104229214,9.183387116538166,0.46749686352864644,same Ridge plus event-matched A-stack controls
ml_extra_trees_b_only,all,65457,21,1.6434392229124464,1.4680829367904609,2.2409011670971988,6.374909122721686,0.10991948913026872,run-held-out ExtraTrees using B features only
ml_extra_trees_b_only,A_any_selected,380,17,2.4312379384275067,1.8628556469397721,3.107896477210709,5.307303326240587,0.15263157894736842,run-held-out ExtraTrees using B features only
ml_extra_trees_b_only,downstream_only,21521,21,1.1644187868433253,1.120675138074766,1.2571529519061582,4.066190799309929,0.01872589563681985,run-held-out ExtraTrees using B features only
ml_extra_trees_b_plus_a,all,65457,21,1.6641267807458826,1.4893610261627102,2.3547926954553815,6.426930374832091,0.11112638831599371,run-held-out ExtraTrees using B features plus A controls
ml_extra_trees_b_plus_a,A_any_selected,380,17,2.458992835448454,1.8249570539290292,3.033603369781088,5.572514634298588,0.16052631578947368,run-held-out ExtraTrees using B features plus A controls
ml_extra_trees_b_plus_a,downstream_only,21521,21,1.1750007092681496,1.1391475042752837,1.2409287536386011,4.095070778922823,0.01872589563681985,run-held-out ExtraTrees using B features plus A controls
