comparison,metric,delta,delta_ci95
interpolation minus rising_edge_huber,charge_res68_abs_frac,0.011268730600362882,"[0.009835375632306588, 0.012794037061312862]"
interpolation minus rising_edge_huber,time_abs68_samples,-0.011347525062146785,"[-0.01444272919067791, -0.00884029783168647]"
interpolation minus rising_edge_huber,q_template_abs68_shift,-0.06589703383403524,"[-0.06971439692310652, -0.062388627769436975]"
interpolation minus rising_edge_huber,pileup_score_abs68_shift,-0.049577376648131125,"[-0.0577058813062187, -0.041119703955847645]"
interpolation minus rising_edge_huber,phase_harm_rate,0.2707156308851224,"[0.2572681261770245, 0.2839865819209039]"
interpolation minus rising_edge_huber,utility,0.38517243140578694,"[0.3612480282029219, 0.4088824775039609]"
ridge_residual minus rising_edge_huber,charge_res68_abs_frac,0.04270923072606633,"[0.0392839803841083, 0.046208466350800156]"
ridge_residual minus rising_edge_huber,time_abs68_samples,-0.011347525062146785,"[-0.01444272919067791, -0.00884029783168647]"
ridge_residual minus rising_edge_huber,q_template_abs68_shift,-0.060777932345325136,"[-0.06494280620241394, -0.056657230844638]"
ridge_residual minus rising_edge_huber,pileup_score_abs68_shift,-0.049577376648131125,"[-0.0577058813062187, -0.041119703955847645]"
ridge_residual minus rising_edge_huber,phase_harm_rate,0.3015536723163842,"[0.28412193973634653, 0.3131885593220339]"
ridge_residual minus rising_edge_huber,utility,0.4876039144997224,"[0.4607819886381265, 0.5096165807140918]"
gbt_residual minus rising_edge_huber,charge_res68_abs_frac,-0.008855019522172311,"[-0.009898556592391776, -0.007698820950770197]"
gbt_residual minus rising_edge_huber,time_abs68_samples,-0.011347525062146785,"[-0.01444272919067791, -0.00884029783168647]"
gbt_residual minus rising_edge_huber,q_template_abs68_shift,-0.0668956731086418,"[-0.07086926142253419, -0.0632973170974818]"
gbt_residual minus rising_edge_huber,pileup_score_abs68_shift,-0.049577376648131014,"[-0.057705881306218586, -0.04111970395584775]"
gbt_residual minus rising_edge_huber,phase_harm_rate,0.2806026365348399,"[0.26530131826742, 0.2930790960451977]"
gbt_residual minus rising_edge_huber,utility,0.334773206195488,"[0.3081581311358559, 0.36014041645308914]"
mlp_residual minus rising_edge_huber,charge_res68_abs_frac,-0.006756337164930563,"[-0.008075943417687702, -0.005504435979275815]"
mlp_residual minus rising_edge_huber,time_abs68_samples,-0.011347525062146785,"[-0.01444272919067791, -0.00884029783168647]"
mlp_residual minus rising_edge_huber,q_template_abs68_shift,-0.06608811404707782,"[-0.07001154200276306, -0.0625354832877308]"
mlp_residual minus rising_edge_huber,pileup_score_abs68_shift,-0.049577376648131125,"[-0.0577058813062187, -0.041119703955847645]"
mlp_residual minus rising_edge_huber,phase_harm_rate,0.2827212806026365,"[0.26764948210922784, 0.2971162900188324]"
mlp_residual minus rising_edge_huber,utility,0.3394385922092549,"[0.31480386863708537, 0.3637789271855382]"
cnn_inpaint minus rising_edge_huber,charge_res68_abs_frac,0.009461097502494561,"[0.00818304566321929, 0.010810011925181537]"
cnn_inpaint minus rising_edge_huber,time_abs68_samples,0.06467605488456309,"[0.051936909041553195, 0.07853981326430028]"
cnn_inpaint minus rising_edge_huber,q_template_abs68_shift,-0.0639698870114083,"[-0.06814992906633795, -0.05960804966869485]"
cnn_inpaint minus rising_edge_huber,pileup_score_abs68_shift,-0.10926461995423825,"[-0.1202474247258017, -0.09630026393676339]"
cnn_inpaint minus rising_edge_huber,phase_harm_rate,0.567090395480226,"[0.5458686440677966, 0.5842867231638419]"
cnn_inpaint minus rising_edge_huber,utility,0.8241483494557573,"[0.7873987794719497, 0.85420914727279]"
phase_harm_gated_cnn minus rising_edge_huber,charge_res68_abs_frac,0.006098390037251877,"[0.00510739242793817, 0.0073513727538516436]"
phase_harm_gated_cnn minus rising_edge_huber,time_abs68_samples,-0.010884398536967765,"[-0.013984297396664114, -0.008416629384981826]"
phase_harm_gated_cnn minus rising_edge_huber,q_template_abs68_shift,-0.04531549007959304,"[-0.049064770541544775, -0.041593505519251464]"
phase_harm_gated_cnn minus rising_edge_huber,pileup_score_abs68_shift,-0.04366271902109825,"[-0.05210369918962273, -0.03574343643714642]"
phase_harm_gated_cnn minus rising_edge_huber,phase_harm_rate,0.20951035781544255,"[0.19585098870056497, 0.22391125235404896]"
phase_harm_gated_cnn minus rising_edge_huber,utility,0.27524246584193635,"[0.2562645012315544, 0.29675072854880447]"
