run,events,events_with_selected,selected_pulses
31,39990,27078,27871
32,41921,27461,28240
33,57173,47911,48737
34,39765,33500,34118
35,27786,11141,11667
36,21764,9930,10391
37,50513,23174,24537
39,30321,13329,14218
40,32613,13763,14708
41,33997,15140,16146
42,33972,17132,18112
44,4294,1912,2038
45,48181,23013,24333
46,1441,677,687
47,10970,5161,5276
48,31713,13185,14000
49,32354,13937,14815
50,44804,34257,35217
51,20569,14295,14740
52,10005,6933,7152
53,39612,31386,32200
54,37413,29665,30440
55,24416,16841,17387
56,51823,38932,40148
57,31284,12939,13833
58,34141,15920,16781
59,42303,13863,21377
60,36074,10140,17029
61,36535,11287,18965
62,37584,11912,19089
63,37030,14781,18817
64,35943,12103,14630
65,38424,11904,13038
