architecture,true_method,control_method,n_runs,mean_true_minus_control_sigma68_ns,run_bootstrap_ci_low,run_bootstrap_ci_high,leave_one_run_min,leave_one_run_max
mlp,mlp_true_waveform,mlp_amplitude_only,7,-0.10724735266140596,-0.1993771668535271,0.009969560840505931,-0.15803341571582838,-0.08175489155640642
mlp,mlp_true_waveform,mlp_phase_scrambled,7,-0.14149118196635366,-0.21233278331795913,-0.06249105337601416,-0.17542321478866355,-0.11862570870525622
mlp,mlp_true_waveform,mlp_sample_permuted,7,-0.13177315663682965,-0.21763878208490928,-0.03402084458744048,-0.1699779458559593,-0.10499294632519328
mlp,mlp_true_waveform,mlp_run_only,7,-0.3646647908613687,-0.5733661183532444,-0.22485562293875186,-0.39606108295614934,-0.2669805886336343
mlp,mlp_true_waveform,mlp_shuffled_target,7,-0.3696914986006484,-0.5833567970278157,-0.2177199415424798,-0.41065780480963054,-0.2711768526555796
cnn,cnn_true_waveform,cnn_amplitude_only,7,-0.04473562397444356,-0.14002217149716675,0.0649940840354413,-0.09110009214652433,-0.016870468738958904
cnn,cnn_true_waveform,cnn_phase_scrambled,7,-0.027621691736645575,-0.11785277918490682,0.05358905354243837,-0.05722520131729503,0.006897814279236525
cnn,cnn_true_waveform,cnn_sample_permuted,7,-0.0334004841388198,-0.11567478100995807,0.04543050171785247,-0.06235737726888583,-0.0032510133210044145
cnn,cnn_true_waveform,cnn_run_only,7,-0.27944505055130037,-0.496630443015268,-0.13542885388640952,-0.31414201418240967,-0.17974028005167306
cnn,cnn_true_waveform,cnn_shuffled_target,7,-0.31462502001024933,-0.5571905000444632,-0.1528310333012163,-0.35544540163173305,-0.20213805845056318
cnn,cnn_amplitude_only,pull_width_sigma68,7,0.47795852130218214,0.37626488605430586,0.5658658594895059,0.44334279513762276,0.5195433847477925
cnn,cnn_phase_scrambled,pull_width_sigma68,7,0.4543153474055178,0.36940212315624243,0.529919857811804,0.4244544206512209,0.49003299170447173
cnn,cnn_run_only,pull_width_sigma68,7,0.7476400373093108,0.654223734981759,0.8548766783984052,0.7026454658273443,0.7688270170738596
cnn,cnn_sample_permuted,pull_width_sigma68,7,0.44590228362081835,0.35950217896621084,0.5214235434403108,0.416838821986722,0.4805384090724585
cnn,cnn_shuffled_target,pull_width_sigma68,7,0.7121431479312587,0.6418714313823124,0.8343165646984423,0.6524077790447598,0.7274779851452489
cnn,cnn_true_waveform,pull_width_sigma68,7,0.4847469382361304,0.3856933233749297,0.5813225330173138,0.44801756963216005,0.5262252955721993
mlp,mlp_amplitude_only,pull_width_sigma68,7,0.4812402583681252,0.39869401995872916,0.5645281861592953,0.4490492477336446,0.5143255940719823
mlp,mlp_phase_scrambled,pull_width_sigma68,7,0.5208920188823253,0.43992611550762295,0.6005558879346398,0.49135773875401906,0.553410504528468
mlp,mlp_run_only,pull_width_sigma68,7,0.8013792771458437,0.7035215739738296,0.9301242788745508,0.7404202906918543,0.8268624065945173
mlp,mlp_sample_permuted,pull_width_sigma68,7,0.5309627624838507,0.45120791398084,0.6080999370016461,0.5011916541855254,0.5624967390190054
mlp,mlp_shuffled_target,pull_width_sigma68,7,0.7455898355745733,0.6908538429805083,0.8329465288125175,0.7034868357054576,0.7594791388441967
mlp,mlp_true_waveform,pull_width_sigma68,7,0.6023561508614085,0.5155161343359672,0.6698155978311822,0.5804630099620693,0.6404598450717602
