method,pedestal_state,mean_pid_score,counterfactual_span
1d_cnn,memory,0.4910730132659021,0.023238042430102468
1d_cnn,middle,0.4731090789340072,0.023238042430102468
1d_cnn,quiet,0.4678349708357996,0.023238042430102468
gradient_boosted_trees,memory,0.5049528954924457,0.011195068143034614
gradient_boosted_trees,middle,0.49701877337843553,0.011195068143034614
gradient_boosted_trees,quiet,0.4937578273494111,0.011195068143034614
mlp,memory,0.4657008694327702,0.05416957749507001
mlp,middle,0.5198704469278402,0.05416957749507001
mlp,quiet,0.5014393046058813,0.05416957749507001
pedestal_memory_gated_residual_cnn_new,memory,0.507098427370902,0.014184391265272933
pedestal_memory_gated_residual_cnn_new,middle,0.4929140361056291,0.014184391265272933
pedestal_memory_gated_residual_cnn_new,quiet,0.501011565181535,0.014184391265272933
ridge,memory,0.45442240529540373,0.024097178079711123
ridge,middle,0.4526585570704441,0.024097178079711123
ridge,quiet,0.47675573515015524,0.024097178079711123
traditional_ar1_deltaE_over_E,memory,0.4927582750333081,0.01764214916963236
traditional_ar1_deltaE_over_E,middle,0.4952404461495933,0.01764214916963236
traditional_ar1_deltaE_over_E,quiet,0.4775982969799609,0.01764214916963236
