component,quantity,value,unit,status,evidence_path,evidence_sha,claim_ids,notes
beam_kinetic_energy,1,190,MeV,SIM_CONFIG,geant4/macros/run_krakow.mac,f9bb3d5e6e44971a4f52a836ff95aad8b20acc8804f5d44ca5399cd938afd5a7,P-002,CCB event-simulation macro parameter; not yet bound to an immutable collaboration run log
beam_spot_diameter,1,10,mm,SIM_CONFIG,geant4/macros/run_krakow.mac,f9bb3d5e6e44971a4f52a836ff95aad8b20acc8804f5d44ca5399cd938afd5a7,P-002,/ElGen/Beamspot 10 mm in reviewed macro
target_material,1,CD2,,SIM_CONFIG,geant4/macros/run_krakow.mac,f9bb3d5e6e44971a4f52a836ff95aad8b20acc8804f5d44ca5399cd938afd5a7,P-003,Deuterated polyethylene target in simulation configuration
target_thickness,1,2.3,mm,SIM_CONFIG,geant4/macros/run_krakow.mac,f9bb3d5e6e44971a4f52a836ff95aad8b20acc8804f5d44ca5399cd938afd5a7,P-003,/ElGen/TargetThickness 2.3 mm; hardware metrology record not yet bound
geometry_distance_parameter,1,109,cm,SIM_CONFIG,geant4/configs/krakow.geoconf,a2bfda12d722d07ea8993bfd765bf8f43e2921715cced9b1b739fd5ffd3871c7,P-004,krakow_distance nominal parameter; not survey-grade metrology
B_arm_angle,1,-38,deg,SIM_CONFIG,geant4/configs/krakow.geoconf,a2bfda12d722d07ea8993bfd765bf8f43e2921715cced9b1b739fd5ffd3871c7,P-004,Downstream B-stack angle in source-bound configuration
A_arm_angle,1,71.5,deg,SIM_CONFIG,geant4/configs/krakow.geoconf,a2bfda12d722d07ea8993bfd765bf8f43e2921715cced9b1b739fd5ffd3871c7,P-004,Recoil A-stack angle in source-bound configuration
B_stack_physical_layers,8,8,bars,SIM_CONFIG,geant4/configs/krakow.geoconf,a2bfda12d722d07ea8993bfd765bf8f43e2921715cced9b1b739fd5ffd3871c7,P-004,krakow_nBars1; eight physical B layers in compact geometry
A_stack_physical_layers,4,4,bars,SIM_CONFIG,geant4/configs/krakow.geoconf,a2bfda12d722d07ea8993bfd765bf8f43e2921715cced9b1b739fd5ffd3871c7,P-004,krakow_nBars2; four physical A layers in compact geometry
stave_length,1,50,cm,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,bd2f6948c6a3c00c9ae2643c07c48bffa48bbe37162338d326000a887136105f,P-006,Issue #796 hardware clarification (David Milstead); conflicts with older ~1 m narrative in docs/01_setup_and_detector.md and academic chapter 2
stave_width,1,5.18,cm,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,bd2f6948c6a3c00c9ae2643c07c48bffa48bbe37162338d326000a887136105f,P-006,Issue #796 clarification; implemented in geant4/single_stave/
stave_thickness_along_particle_path,1,2.0,cm,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,bd2f6948c6a3c00c9ae2643c07c48bffa48bbe37162338d326000a887136105f,P-006,Normal thickness crossed by primary; issue #796 early 5 cm thickness phrase is superseded by this clarification
stave_material,1,extruded_polystyrene,,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,bd2f6948c6a3c00c9ae2643c07c48bffa48bbe37162338d326000a887136105f,P-006,BC-408 equivalent noted in #796 model doc; older BC-408/~1 m BC-408 bars in academic chapter 2 are unresolved without primary build record
reflective_coating,1,TiO2_loaded,,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,bd2f6948c6a3c00c9ae2643c07c48bffa48bbe37162338d326000a887136105f,P-006,Modelled as dielectric_metal shell in geant4/single_stave/
fibre_hole_diameter,2,2.0,mm,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,bd2f6948c6a3c00c9ae2643c07c48bffa48bbe37162338d326000a887136105f,P-007,Two longitudinal holes; kHoleRadius=1.0 mm in DetectorConstruction.hh
