heldout_run,model,split,rmse_ns,mae_ns,n_pulses
58,ml_proxy,train,0.5428445275743158,0.296593641881201,11241
58,ml_proxy,heldout,1.0793589096325154,0.5623411256849948,219
59,ml_proxy,train,0.4984272595716518,0.2906420923792651,9171
59,ml_proxy,heldout,0.8893407654870162,0.33922332826337126,2289
60,ml_proxy,train,0.5168470547356515,0.29989334531988643,9036
60,ml_proxy,heldout,0.6635473482340103,0.36766734280797075,2424
61,ml_proxy,train,0.5085492071761943,0.2941087016401103,8661
61,ml_proxy,heldout,1.0274090212831526,0.41444460738545336,2799
62,ml_proxy,train,0.5255006163539918,0.2944447947779978,9039
62,ml_proxy,heldout,1.261754743366618,0.3590772387581124,2421
63,ml_proxy,train,0.5522677970981485,0.3041215263910124,10350
63,ml_proxy,heldout,0.8599325389134937,0.39081081978574844,1110
65,ml_proxy,train,0.574782341832442,0.305289181017993,11262
65,ml_proxy,heldout,0.5882286574985233,0.40508299899189243,198
