stratum,value,method,n_events,n_accepted,separation_efficiency,pid_auc,pid_balanced_accuracy,pid_confusion_tn,pid_confusion_fp,pid_confusion_fn,pid_confusion_tp,energy_bias_frac,energy_sigma68_frac,timing_bias_ns,timing_sigma68_ns,pileup_miss_rate,saturation_auc,unsaturated_auc,boundary_disagreement_rate
pileup_bin,pileup,1d_cnn,240,157,0.6541666666666667,0.7721369539551358,0.7296687269949302,94,25,40,81,-0.1246645787190533,0.18826842615664574,12.817147459792055,4.5761295551885715,0.3458333333333333,0.7992327365728901,0.7506849315068493,0.10833333333333334
pileup_bin,single,1d_cnn,240,57,0.2375,0.816624895572264,0.70843776106934,110,16,52,62,-0.1312597006063383,0.2453288221713829,13.252606061019645,5.0299933595261255,,0.7983091787439613,0.83125,0.1125
pileup_bin,pileup,deltaE_over_E_likelihood_template,240,94,0.39166666666666666,0.7469963191888326,0.7293909299256893,90,29,36,85,-0.0892264065653817,0.1966702195847253,11.504536591593322,7.1253794967116075,0.6083333333333333,0.8273657289002558,0.6962818003913893,0.0
pileup_bin,single,deltaE_over_E_likelihood_template,240,29,0.12083333333333333,0.752297410192147,0.7228487886382623,107,19,46,68,-0.1025043971433998,0.17968184471567422,8.812405158701683,11.573266551221824,,0.8007246376811594,0.7363782051282051,0.0
pileup_bin,pileup,gradient_boosted_trees,240,153,0.6375,0.8823529411764707,0.8035627474130147,87,32,15,106,-0.062847144151372,0.19439390418062608,13.245888682804267,6.645071936069259,0.3625,0.9134697357203752,0.8532289628180039,0.175
pileup_bin,single,gradient_boosted_trees,240,54,0.225,0.9314954051796157,0.8316624895572264,109,17,23,91,-0.10375145752506595,0.22621018872340434,16.49352339911406,7.412762918561563,,0.9365942028985508,0.9298076923076923,0.2375
pileup_bin,pileup,joint_sequence_transformer,240,142,0.5916666666666667,0.5035071879991666,0.5023265504548927,93,26,94,27,-0.0648611515228005,0.22262922201796023,13.7413325850792,6.777972447899735,0.4083333333333333,0.5332480818414322,0.48551859099804306,0.42083333333333334
pileup_bin,single,joint_sequence_transformer,240,38,0.15833333333333333,0.5025062656641603,0.48893065998329155,121,5,112,2,-0.05133609440905875,0.2799692693199612,16.111446434702763,7.336424326955225,,0.5096618357487923,0.4958333333333333,0.375
pileup_bin,pileup,mlp,240,147,0.6125,0.7408847836655325,0.6967497742898813,96,23,50,71,-0.0795330594222131,0.20703689404625109,12.629636317057502,6.610228629162135,0.3875,0.8299232736572889,0.686692759295499,0.15833333333333333
pileup_bin,single,mlp,240,66,0.275,0.7100389863547758,0.6334586466165413,111,15,70,44,-0.09034891360966985,0.3316796048345072,14.982671105913166,8.366076627602126,,0.7330917874396136,0.7088141025641026,0.13333333333333333
