check,value,pass,actual
fold_58_train_heldout_run_overlap,0.0,True,
fold_58_train_heldout_event_overlap,0.0,True,
fold_59_train_heldout_run_overlap,0.0,True,
fold_59_train_heldout_event_overlap,0.0,True,
fold_60_train_heldout_run_overlap,0.0,True,
fold_60_train_heldout_event_overlap,0.0,True,
fold_61_train_heldout_run_overlap,0.0,True,
fold_61_train_heldout_event_overlap,0.0,True,
fold_62_train_heldout_run_overlap,0.0,True,
fold_62_train_heldout_event_overlap,0.0,True,
fold_63_train_heldout_run_overlap,0.0,True,
fold_63_train_heldout_event_overlap,0.0,True,
fold_65_train_heldout_run_overlap,0.0,True,
fold_65_train_heldout_event_overlap,0.0,True,
features_exclude_run_event_target_residual_tail_pair_time,0.0,True,
ml_shuffled_control_not_better_auc,0.5190434115006459,True,0.6293040407084737
ml_shuffled_control_not_better_tail_capture,0.3333333333333333,True,0.4298245614035088
