fold,method,selected,n_features,n_train,n_parameters,last_loss,train_seconds
1,ridge,alpha=10.0,47,7920,,,
1,gradient_boosted_trees,HistGradientBoostingClassifier,47,7920,,,
1,mlp,one_hidden_layer_early_stopping,47,7920,,,
1,cnn1d,four_stave_sequence,36,7920,2257.0,0.14911742508411407,0.307999849319458
1,gated_dilated_cnn,four_stave_sequence,36,7920,4969.0,0.06812707334756851,0.48625946044921875
2,ridge,alpha=1.0,47,7914,,,
2,gradient_boosted_trees,HistGradientBoostingClassifier,47,7914,,,
2,mlp,one_hidden_layer_early_stopping,47,7914,,,
2,cnn1d,four_stave_sequence,36,7914,2257.0,0.17352306842803955,0.2724149227142334
2,gated_dilated_cnn,four_stave_sequence,36,7914,4969.0,0.09119851142168045,0.4622786045074463
3,ridge,alpha=10.0,47,7910,,,
3,gradient_boosted_trees,HistGradientBoostingClassifier,47,7910,,,
3,mlp,one_hidden_layer_early_stopping,47,7910,,,
3,cnn1d,four_stave_sequence,36,7910,2257.0,0.13827897608280182,0.27776288986206055
3,gated_dilated_cnn,four_stave_sequence,36,7910,4969.0,0.052347395569086075,0.4711146354675293
4,ridge,alpha=10.0,47,7922,,,
4,gradient_boosted_trees,HistGradientBoostingClassifier,47,7922,,,
4,mlp,one_hidden_layer_early_stopping,47,7922,,,
4,cnn1d,four_stave_sequence,36,7922,2257.0,0.0745960995554924,0.2795565128326416
4,gated_dilated_cnn,four_stave_sequence,36,7922,4969.0,0.10086074471473694,0.45526981353759766
5,ridge,alpha=10.0,47,7922,,,
5,gradient_boosted_trees,HistGradientBoostingClassifier,47,7922,,,
5,mlp,one_hidden_layer_early_stopping,47,7922,,,
5,cnn1d,four_stave_sequence,36,7922,2257.0,0.13582941889762878,0.26761960983276367
5,gated_dilated_cnn,four_stave_sequence,36,7922,4969.0,0.054425738751888275,0.47402477264404297
